filename,sha256,size_bytes
kdca_health_database_v1_7.xlsx,2b263795372993db42d879c5452bcee6613f905e59985e1422a65e8320fc1f34,51155683
kosis_midyear_population_2015.zip,1000b4d6be8ecb00732f603e632c35133ce2afc1232bad4b17cc34260de95bd5,128419
kosis_midyear_population_2016.zip,88c44aea018964f118bc38f27cf00b7bd59089914fd07b925221557f97447240,127184
kosis_midyear_population_2017.zip,767ae00a0397eddc181e02ccef21ba70f601f37660eb86c018cb6853f653fa96,127142
kosis_midyear_population_2018.zip,08f2394c073199b0efced5b2de9518b222b43dcb96bc46156a7f419b429b4168,127345
kosis_midyear_population_2019.zip,ee83eacf26cfb18777ed0ced58fbcd902c8671ddd645cb24d9c644dbc7e84600,127445
kosis_municipal_mortality_2015.zip,732c7e5d339d5c9b913c74e09af4e872098ac4955cb4e0ba6937071608d172a3,494745
kosis_municipal_mortality_2016.zip,6533427212c73afc93460ceb29236fef47cd6ff36f6e67364019d597d9c800d6,493617
kosis_municipal_mortality_2017.zip,09559b7b5ad18c5513fbda6a6aa05910d89043a4d58d78c029f429512bc3126c,494934
kosis_municipal_mortality_2018.zip,c9819899225cd87057b1f390d7548b260f7caf1aaec54b27a9e9543af20f740a,495844
kosis_municipal_mortality_2019.zip,93ff27ac2a3e9ba0bf8b9619b379e96c504167004cd13785bf035a15398dee3f,493548
kosis_national_mortality_2015.zip,92a286249be8f2ee6cddfca720a3378beb73ce905aa4d04378d2c5d230e1e850,819173
kosis_national_mortality_2016.zip,c8ceb05ae58f77b80291509f891f0dc06ce3aa15f05e49e93ec6dfe1d9f999c9,819812
kosis_national_mortality_2017.zip,3e186e80f269df02711e44f68ee53f5a7d977614534eba2a58e55d03afc5e95f,818116
kosis_national_mortality_2018.zip,88fbd38ba1a6e844eaa3a5998bd290fe88b67e5cb8a59741a05ec1a586726ca4,819981
kosis_national_mortality_2019.zip,3beb41af195cf5a037a1b0c70d4e6c1ad517fc974a7bf4d3a7868d02b60d6ae9,816428
SIG_201905.zip,a4dd638c4d28caacd3ccea3a4346067e628cdec526df173b0738afb7773448fd,16363808
