area_id,kosis_code,kosis_name_korean
11110,11010,종로구
11140,11020,중구
11170,11030,용산구
11200,11040,성동구
11215,11050,광진구
11230,11060,동대문구
11260,11070,중랑구
11290,11080,성북구
11305,11090,강북구
11320,11100,도봉구
11350,11110,노원구
11380,11120,은평구
11410,11130,서대문구
11440,11140,마포구
11470,11150,양천구
11500,11160,강서구
11530,11170,구로구
11545,11180,금천구
11560,11190,영등포구
11590,11200,동작구
11620,11210,관악구
11650,11220,서초구
11680,11230,강남구
11710,11240,송파구
11740,11250,강동구
26110,21010,중구
26140,21020,서구
26170,21030,동구
26200,21040,영도구
26230,21050,부산진구
26260,21060,동래구
26290,21070,남구
26320,21080,북구
26350,21090,해운대구
26380,21100,사하구
26410,21110,금정구
26440,21120,강서구
26470,21130,연제구
26500,21140,수영구
26530,21150,사상구
26710,21310,기장군
27110,22010,중구
27140,22020,동구
27170,22030,서구
27200,22040,남구
27230,22050,북구
27260,22060,수성구
27290,22070,달서구
27710,22310,달성군
28110,23010,중구
28140,23020,동구
28177,23090,미추홀구
28185,23040,연수구
28200,23050,남동구
28237,23060,부평구
28245,23070,계양구
28260,23080,서구
28710,23310,강화군
28720,23320,옹진군
29110,24010,동구
29140,24020,서구
29155,24030,남구
29170,24040,북구
29200,24050,광산구
30110,25010,동구
30140,25020,중구
30170,25030,서구
30200,25040,유성구
30230,25050,대덕구
31110,26010,중구
31140,26020,남구
31170,26030,동구
31200,26040,북구
31710,26310,울주군
36110,29010,세종시
41111,31011,장안구
41113,31012,권선구
41115,31013,팔달구
41117,31014,영통구
41131,31021,수정구
41133,31022,중원구
41135,31023,분당구
41150,31030,의정부시
41171,31041,만안구
41173,31042,동안구
41190,31050,부천시
41210,31060,광명시
41220,31070,평택시
41250,31080,동두천시
41271,31091,상록구
41273,31092,단원구
41281,31101,덕양구
41285,31103,일산동구
41287,31104,일산서구
41290,31110,과천시
41310,31120,구리시
41360,31130,남양주시
41370,31140,오산시
41390,31150,시흥시
41410,31160,군포시
41430,31170,의왕시
41450,31180,하남시
41461,31191,처인구
41463,31192,기흥구
41465,31193,수지구
41480,31200,파주시
41500,31210,이천시
41550,31220,안성시
41570,31230,김포시
41590,31240,화성시
41610,31250,광주시
41630,31260,양주시
41650,31270,포천시
41670,31280,여주시
41800,31350,연천군
41820,31370,가평군
41830,31380,양평군
42110,32010,춘천시
42130,32020,원주시
42150,32030,강릉시
42170,32040,동해시
42190,32050,태백시
42210,32060,속초시
42230,32070,삼척시
42720,32310,홍천군
42730,32320,횡성군
42750,32330,영월군
42760,32340,평창군
42770,32350,정선군
42780,32360,철원군
42790,32370,화천군
42800,32380,양구군
42810,32390,인제군
42820,32400,고성군
42830,32410,양양군
43111,33041,상당구
43112,33042,서원구
43113,33043,흥덕구
43114,33044,청원구
43130,33020,충주시
43150,33030,제천시
43720,33320,보은군
43730,33330,옥천군
43740,33340,영동군
43745,33390,증평군
43750,33350,진천군
43760,33360,괴산군
43770,33370,음성군
43800,33380,단양군
44131,34011,동남구
44133,34012,서북구
44150,34020,공주시
44180,34030,보령시
44200,34040,아산시
44210,34050,서산시
44230,34060,논산시
44250,34070,계룡시
44270,34080,당진시
44710,34310,금산군
44760,34330,부여군
44770,34340,서천군
44790,34350,청양군
44800,34360,홍성군
44810,34370,예산군
44825,34380,태안군
45111,35011,완산구
45113,35012,덕진구
45130,35020,군산시
45140,35030,익산시
45180,35040,정읍시
45190,35050,남원시
45210,35060,김제시
45710,35310,완주군
45720,35320,진안군
45730,35330,무주군
45740,35340,장수군
45750,35350,임실군
45770,35360,순창군
45790,35370,고창군
45800,35380,부안군
46110,36010,목포시
46130,36020,여수시
46150,36030,순천시
46170,36040,나주시
46230,36060,광양시
46710,36310,담양군
46720,36320,곡성군
46730,36330,구례군
46770,36350,고흥군
46780,36360,보성군
46790,36370,화순군
46800,36380,장흥군
46810,36390,강진군
46820,36400,해남군
46830,36410,영암군
46840,36420,무안군
46860,36430,함평군
46870,36440,영광군
46880,36450,장성군
46890,36460,완도군
46900,36470,진도군
46910,36480,신안군
47111,37011,남구
47113,37012,북구
47130,37020,경주시
47150,37030,김천시
47170,37040,안동시
47190,37050,구미시
47210,37060,영주시
47230,37070,영천시
47250,37080,상주시
47280,37090,문경시
47290,37100,경산시
47720,37310,군위군
47730,37320,의성군
47750,37330,청송군
47760,37340,영양군
47770,37350,영덕군
47820,37360,청도군
47830,37370,고령군
47840,37380,성주군
47850,37390,칠곡군
47900,37400,예천군
47920,37410,봉화군
47930,37420,울진군
47940,37430,울릉군
48121,38111,의창구
48123,38112,성산구
48125,38113,마산합포구
48127,38114,마산회원구
48129,38115,진해구
48170,38030,진주시
48220,38050,통영시
48240,38060,사천시
48250,38070,김해시
48270,38080,밀양시
48310,38090,거제시
48330,38100,양산시
48720,38310,의령군
48730,38320,함안군
48740,38330,창녕군
48820,38340,고성군
48840,38350,남해군
48850,38360,하동군
48860,38370,산청군
48870,38380,함양군
48880,38390,거창군
48890,38400,합천군
50110,39010,제주시
50130,39020,서귀포시
