metric,value,dataset
correlation,0.7692985101423174,glasgow
mae,0.7292864126555288,glasgow
rmse,1.0944058467091238,glasgow
abi_on_car_slope,3.0459399953556865,glasgow
abi_on_car_intercept,-1.2449365153939977,glasgow
correlation,0.8400539525520025,california
mae,0.14606334042566632,california
rmse,0.22980210956493352,california
abi_on_car_slope,1.6987839698749838,california
abi_on_car_intercept,-0.7506714790055566,california
correlation,0.8650009745043747,south_korea
mae,0.1461128052301616,south_korea
rmse,0.18957456685335913,south_korea
abi_on_car_slope,2.314983792602702,south_korea
abi_on_car_intercept,-1.3097459255786075,south_korea
