from_index0,to_index0,from_id,to_id,edge_dissimilarity,boundary_prob_abi,boundary_median_abi,boundary_prob,boundary_median_car
0,1,11110,11140,1.0967224,0.30367,0,0.0,0
0,5,11110,11230,0.31870577,0.0,0,0.0,0
0,7,11110,11290,0.32807967,0.0,0,0.0,0
0,11,11110,11380,0.37494832,0.0,0,0.0,0
0,12,11110,11410,0.44993782,0.0,0,0.0,0
0,88,11110,41281,1.3310647,0.40896,0,0.0002999999999999,0
1,2,11140,11170,1.3404387,0.41239,0,0.0002999999999999,0
1,3,11140,11200,0.97486424,0.23424,0,0.0,0
1,5,11140,11230,0.7780166,0.0813,0,0.0,0
1,12,11140,11410,0.64678454,0.0,0,0.0,0
1,13,11140,11440,1.4904176,0.46359,0,0.0063999999999999,0
2,3,11170,11200,0.36557442,0.0,0,0.0,0
2,13,11170,11440,0.14997894,0.0,0,0.0,0
2,18,11170,11560,0.7873897,0.0912,0,0.0,0
2,19,11170,11590,0.57179505,0.0,0,0.0,0
2,21,11170,11650,1.4341753,0.44561,0,0.0026,0
3,4,11200,11215,0.2437163,0.0,0,0.0,0
3,5,11200,11230,0.19684765,0.0,0,0.0,0
3,22,11200,11680,1.012359,0.25653,0,0.0,0
4,5,11215,11230,0.046868652,0.0,0,0.0,0
4,6,11215,11260,0.83425915,0.13423,0,0.0,0
4,22,11215,11680,1.2560754,0.37866,0,9.9999999999989e-05,0
4,23,11215,11710,1.7716286,0.54049,1,0.421,0
4,24,11215,11740,0.9748643,0.23424,0,0.0,0
4,92,11215,41310,0.8155114,0.11731,0,0.0,0
5,6,11230,11260,0.88112783,0.17008,0,0.0,0
5,7,11230,11290,0.009373903,0.0,0,0.0,0
6,7,11260,11290,0.87175393,0.16298,0,0.0,0
6,10,11260,11350,1.3591865,0.41932,0,0.0002999999999999,0
6,92,11260,41310,1.6497706,0.51056,1,0.1352,0
7,8,11290,11305,1.3216909,0.40513,0,0.0002999999999999,0
7,10,11290,11350,0.48743257,0.0,0,0.0,0
7,88,11290,41281,1.0029851,0.25119,0,0.0,0
8,9,11305,11320,1.443549,0.44864,0,0.0033999999999999,0
8,88,11305,41281,0.3187058,0.0,0,0.0,0
8,108,11305,41630,0.4124422,0.0,0,0.0,0
9,10,11320,11350,0.36557442,0.0,0,0.0,0
9,79,11320,41150,1.143591,0.32742,0,0.0,0
9,108,11320,41630,1.0311068,0.26821,0,0.0,0
10,79,11350,41150,1.5091655,0.46932,0,0.0078,0
10,92,11350,41310,0.2905841,0.0,0,0.0,0
10,93,11350,41360,1.2373284,0.37082,0,0.0,0
11,12,11380,11410,0.0749895,0.0,0,0.0,0
11,88,11380,41281,0.95611644,0.22212,0,0.0,0
12,13,11410,11440,0.84363306,0.14137,0,0.0,0
13,15,11440,11500,0.46868473,0.0,0,0.0,0
13,18,11440,11560,0.63741076,0.0,0,0.0,0
13,88,11440,41281,1.72476,0.52944,1,0.1864,0
14,15,11470,11500,1.0029852,0.25119,0,0.0,0
14,16,11470,11530,0.5249274,0.0,0,0.0,0
14,18,11470,11560,0.10311031,0.0,0,0.0,0
14,82,11470,41190,1.312317,0.40138,0,0.0002999999999999,0
15,18,11500,11560,1.1060956,0.30835,0,0.0,0
15,54,11500,28245,1.7903757,0.54476,1,0.5359,1
15,82,11500,41190,0.30933183,0.0,0,0.0,0
15,105,11500,41570,0.065615594,0.0,0,0.0,0
16,17,11530,11545,1.6122749,0.50018,1,0.1091,0
16,18,11530,11560,0.6280377,0.0,0,0.0,0
16,20,11530,11620,1.2748222,0.38645,0,9.9999999999989e-05,0
16,82,11530,41190,0.78738964,0.0912,0,0.0,0
16,83,11530,41210,0.03749478,0.0,0,0.0,0
17,20,11545,11620,0.3374527,0.0,0,0.0,0
17,80,11545,41171,0.7780167,0.0813,0,0.0,0
17,83,11545,41210,1.5747802,0.48959,0,0.0584,0
18,19,11560,11590,0.21559465,0.0,0,0.0,0
18,20,11560,11620,1.9028599,0.5693,1,0.7655,1
19,20,11590,11620,1.6872653,0.52021,1,0.1566,0
19,21,11590,11650,0.86238015,0.15628,0,0.0,0
20,21,11620,11650,2.5496454,0.66639,1,0.9268,1
