metric,value,dataset
boundary_prob_correlation,0.986429842317982,glasgow
boundary_prob_mae,0.0730036388888888,glasgow
abi_prob_vs_dissimilarity_corr,0.893467065609737,glasgow
dagarbayes_prob_vs_dissimilarity_corr,0.8365295908627796,glasgow
median_boundary_count_abi,134.0,glasgow
median_boundary_count_dagarbayes,140.0,glasgow
median_boundary_overlap,134.0,glasgow
median_boundary_jaccard,0.9571428571428572,glasgow
boundary_prob_correlation,0.932326228029794,california
boundary_prob_mae,0.0836640287769784,california
abi_prob_vs_dissimilarity_corr,0.9448867725044308,california
dagarbayes_prob_vs_dissimilarity_corr,0.9202237535840886,california
median_boundary_count_abi,33.0,california
median_boundary_count_dagarbayes,24.0,california
median_boundary_overlap,24.0,california
median_boundary_jaccard,0.7272727272727273,california
boundary_prob_correlation,0.8051509979983179,south_korea
boundary_prob_mae,0.1048388977635782,south_korea
abi_prob_vs_dissimilarity_corr,0.9366101394431878,south_korea
dagarbayes_prob_vs_dissimilarity_corr,0.8754846183047543,south_korea
median_boundary_count_abi,93.0,south_korea
median_boundary_count_dagarbayes,52.0,south_korea
median_boundary_overlap,52.0,south_korea
median_boundary_jaccard,0.5591397849462365,south_korea
