from_index0,to_index0,from_id,to_id,edge_dissimilarity,boundary_prob_abi,boundary_median_abi,boundary_prob,boundary_median_dagar
0,1,S02000260,S02000261,1.122597,0.77414,1,0.9205,1
0,2,S02000260,S02000262,1.1974368,0.81004,1,0.96,1
0,4,S02000260,S02000264,1.122597,0.77414,1,0.9205,1
0,86,S02000260,S02000691,1.1974367,0.81004,1,0.96,1
0,90,S02000260,S02000695,0.9729174,0.66907,1,0.0,0
0,92,S02000260,S02000697,0.52387863,0.0,0,0.0,0
1,2,S02000261,S02000262,0.07483983,0.0,0,0.0,0
1,90,S02000261,S02000695,0.14967954,0.0,0,0.0,0
1,112,S02000261,S02000923,0.26193923,0.0,0,0.0,0
2,4,S02000262,S02000264,0.07483983,0.0,0,0.0,0
2,10,S02000262,S02000270,0.14967954,0.0,0,0.0,0
2,112,S02000262,S02000923,0.33677906,0.0,0,0.0,0
3,5,S02000263,S02000265,0.07483983,0.0,0,0.0,0
3,6,S02000263,S02000266,0.11225963,0.0,0,0.0,0
3,9,S02000263,S02000269,0.14967954,0.0,0,0.0,0
3,97,S02000263,S02000702,0.2993592,0.0,0,0.0,0
3,100,S02000263,S02000705,1.2722766,0.83553,1,0.9916,1
3,104,S02000263,S02000709,1.7961552,0.91196,1,1.0,1
3,105,S02000263,S02000710,1.5342159,0.88754,1,0.9999,1
4,8,S02000264,S02000268,0.07483983,0.0,0,0.0,0
4,10,S02000264,S02000270,0.07483971,0.0,0,0.0,0
4,18,S02000264,S02000278,0.07483971,0.0,0,0.0,0
4,86,S02000264,S02000691,2.3200336,0.93504,1,1.0,1
4,89,S02000264,S02000694,2.3948736,0.93737,1,1.0,1
4,103,S02000264,S02000708,2.1703541,0.93028,1,1.0,1
4,108,S02000264,S02000713,1.122597,0.77414,1,0.9205,1
5,9,S02000265,S02000269,0.22451937,0.0,0,0.0,0
5,11,S02000265,S02000271,0.22451937,0.0,0,0.0,0
5,104,S02000265,S02000709,1.7213154,0.90675,1,1.0,1
5,107,S02000265,S02000712,3.0684319,0.95223,1,1.0,1
6,9,S02000266,S02000269,0.037419915,0.0,0,0.0,0
6,19,S02000266,S02000279,0.11225963,0.0,0,0.0,0
6,105,S02000266,S02000710,1.6464756,0.89989,1,1.0,1
6,108,S02000266,S02000713,1.3845363,0.86194,1,0.999,1
7,10,S02000267,S02000270,0.336779,0.0,0,0.0,0
7,14,S02000267,S02000274,0.14967954,0.0,0,0.0,0
7,15,S02000267,S02000275,0.6735581,0.16573,0,0.0,0
7,112,S02000267,S02000923,0.5238785,0.0,0,0.0,0
7,113,S02000267,S02000925,0.9354974,0.63225,1,0.0,0
8,18,S02000268,S02000278,0.14967954,0.0,0,0.0,0
8,19,S02000268,S02000279,0.07483983,0.0,0,0.0,0
8,108,S02000268,S02000713,1.1974368,0.81004,1,0.96,1
9,11,S02000269,S02000271,0.0,0.0,0,0.0,0
9,12,S02000269,S02000272,0.037419915,0.0,0,0.0,0
9,13,S02000269,S02000273,0.0,0.0,0,0.0,0
9,19,S02000269,S02000279,0.14967954,0.0,0,0.0,0
10,15,S02000270,S02000275,0.33677912,0.0,0,0.0,0
10,18,S02000270,S02000278,0.0,0.0,0,0.0,0
10,21,S02000270,S02000281,0.67355824,0.16573,0,0.0,0
10,112,S02000270,S02000923,0.18709952,0.0,0,0.0,0
11,12,S02000271,S02000272,0.037419915,0.0,0,0.0,0
11,16,S02000271,S02000276,0.0,0.0,0,0.0,0
11,25,S02000271,S02000285,0.037419915,0.0,0,0.0,0
11,107,S02000271,S02000712,3.292951,0.95572,1,1.0,1
11,110,S02000271,S02000715,3.1432714,0.95348,1,1.0,1
11,111,S02000271,S02000716,3.1806912,0.95404,1,1.0,1
11,121,S02000271,S02001189,0.89807755,0.59062,1,0.0,0
11,123,S02000271,S02001191,2.2077742,0.93155,1,1.0,1
11,125,S02000271,S02001193,0.33677912,0.0,0,0.0,0
12,13,S02000272,S02000273,0.037419915,0.0,0,0.0,0
