area_id,risk_abi,fitted_count_mean_abi,pred_count_mean_abi,pred_count_lower_abi,pred_count_upper_abi,observed,expected,risk_dagarbayes
11110,0.898391,274.0631,274.075,233.0,316.05005,257.0,305.05994,0.893338841106375
11140,0.8097101,197.75513,198.321,164.0,234.0,206.0,244.22955,0.871336710419538
11170,0.87945515,365.967,366.034,286.975,446.0,402.0,416.12924,0.915580285982198
11200,0.78618294,385.05322,385.976,308.0,471.0,452.0,489.7756,0.897342954702942
11215,0.68420464,363.88004,364.941,285.0,448.02502,448.0,531.8292,0.859250492000937
11230,0.68136436,447.49753,447.411,381.95,540.05005,586.0,656.76685,0.8865277428383
11260,0.65452594,462.7709,463.652,368.975,645.1001,668.0,707.03217,0.937922965646187
11290,0.634518,497.87714,497.995,427.0,643.2002,688.0,784.65405,0.888829324654024
11305,0.76437384,496.1754,497.061,333.0,661.0,606.0,649.12665,0.936335258534372
11320,0.78745025,512.5792,512.662,315.975,673.0,611.0,650.93536,0.951729224086642
11350,0.66611236,596.58356,596.888,443.0,818.025,866.0,895.62,0.961430023110869
11380,0.8828426,774.3484,772.968,682.0,866.0,847.0,877.1081,0.964255273138809
11410,0.7524091,433.29654,432.725,380.975,496.0,513.0,575.8789,0.892239237627806
11440,0.6992424,414.53625,414.01,344.0,516.025,507.0,592.83624,0.867708084635844
11470,0.93528837,634.86865,634.74,556.0,722.025,596.0,678.79456,0.898106957827174
11500,0.7335188,659.822,660.191,566.975,796.15015,826.0,899.52985,0.916205791971555
11530,0.8359353,582.3857,582.698,509.975,656.025,617.0,696.6875,0.898530733384545
11545,0.8853032,355.64813,356.028,289.975,421.0,370.0,401.72467,0.937632137546051
11560,0.6748668,431.36743,431.617,374.0,513.025,550.0,639.189,0.862982393132776
11590,0.6719907,455.2362,455.835,373.975,580.0,592.0,677.4442,0.860790016745958
11620,0.7345381,593.39557,592.078,460.975,723.025,718.0,807.84863,0.881911470518397
11650,0.49929264,319.2802,319.219,243.975,446.0,425.0,639.4651,0.704997015419619
11680,0.40985534,319.29144,319.208,239.975,482.0,521.0,779.0345,0.704183430792475
11710,0.3919848,366.25702,366.429,227.0,667.1001,719.0,934.3654,0.776655463735442
11740,0.46861643,320.737,321.192,147.9,603.025,577.0,684.43396,0.842895156501811
26110,1.0594637,117.607735,117.942,94.0,142.02502,110.0,111.00685,1.01425819605247
26140,1.1637504,325.34564,325.931,281.0,376.0,312.0,279.5665,1.07661746524152
26170,1.1875608,280.59814,280.428,237.0,326.0,253.0,236.28108,1.05006177822819
26230,1.0904791,793.1029,793.013,685.975,895.05005,694.0,727.29767,0.982421108488372
