display_id,area_id,area_name,observed,expected,risk_ratio,covariate,crude_log_risk,degree
C001,alameda,Alameda,3416.0,3429.35119454417,0.99610678703149,11.5,-0.0037544519373078344,4.0
C002,alpine,Alpine,2.0,3.55550755919808,0.562507593276243,12.6,-0.35220709452270005,5.0
C003,amador,Amador,209.0,144.847881111858,1.44289304334801,12.6,0.36903964340806716,5.0
C004,butte,Butte,849.0,612.78692441376,1.38547342669268,15.9,0.3266306603581608,6.0
C005,calaveras,Calaveras,191.0,178.223311061036,1.07168921317251,12.6,0.07185048810440708,5.0
C006,colusa,Colusa,57.0,47.7002044065521,1.19496343273888,18.9,0.18684926466552643,5.0
C007,contra costa,Contra Costa,2665.0,2647.86255719695,1.00647217989335,12.6,0.006638924934811996,4.0
C008,del norte,Del Norte,93.0,72.3113363377492,1.28610539799208,24.7,0.2569805236016114,2.0
C009,el dorado,El Dorado,593.0,552.26773898515,1.07375455442989,15.9,0.07200425097039886,4.0
C010,fresno,Fresno,1946.0,1819.4667009013,1.06954416864899,19.1,0.06748945140165485,8.0
C011,glenn,Glenn,101.0,68.7781574989411,1.46848946922655,18.9,0.3891725821624865,5.0
C012,humboldt,Humboldt,463.0,344.54311150598,1.34380861070259,14.4,0.29658716012935304,4.0
C013,imperial,Imperial,322.0,355.083168883852,0.906829802753411,10.2,-0.09624890434671762,2.0
C014,inyo,Inyo,71.0,63.0410966168786,1.12624944377935,12.6,0.1259106087293267,5.0
C015,kern,Kern,1687.0,1503.25668737611,1.12223016479282,14.7,0.11561426422482146,9.0
C016,kings,Kings,237.0,243.306713139417,0.97407916510794,13.9,-0.02415521795803688,5.0
C017,lake,Lake,367.0,213.482552419816,1.71911004360811,25.5,0.5431682110106557,6.0
C018,lassen,Lassen,76.0,68.7666044644875,1.10518762111118,15.3,0.10657251396349032,4.0
C019,los angeles,Los Angeles,18305.0,20958.8768282324,0.873376953832874,11.6,-0.13536071043731646,4.0
C020,madera,Madera,361.0,326.839799897474,1.1045166473399,10.6,0.10079189931639476,5.0
C021,marin,Marin,680.0,823.258889818088,0.825985614501238,8.9,-0.1904428975495147,1.0
C022,mariposa,Mariposa,76.0,70.2288814001238,1.08217585820563,19.2,0.08553109845288454,4.0
C023,mendocino,Mendocino,305.0,262.973164462428,1.15981416059499,15.0,0.1498977879044716,6.0
C024,merced,Merced,537.0,472.457272054644,1.1366107196629,16.4,0.12898144667099576,7.0
C025,modoc,Modoc,32.0,34.327349992298,0.932201291599258,15.3,-0.054702322969702344,3.0
C026,mono,Mono,20.0,31.8834487139292,0.627284713753768,12.6,-0.4416621399045404,5.0
C027,monterey,Monterey,763.0,876.750814479617,0.870258672588594,10.6,-0.13830969333706555,6.0
C028,napa,Napa,429.0,390.569207692404,1.09839688216758,15.6,0.09501655944202447,4.0
C029,nevada,Nevada,345.0,366.178227354089,0.942164154578175,15.3,-0.05812753165095508,3.0
C030,orange,Orange,6508.0,6984.76624497194,0.931741989889047,11.1,-0.07062251193780611,4.0
C031,placer,Placer,1118.0,1057.30422304696,1.05740616147179,9.0,0.056266019019258984,5.0
C032,plumas,Plumas,74.0,75.1733838477286,0.984390966753533,15.3,-0.008998104724275535,6.0
C033,riverside,Riverside,5294.0,5091.77767508624,1.03971546634945,11.8,0.03904152775555225,4.0
C034,sacramento,Sacramento,4078.0,3178.41685455885,1.28302868585373,15.9,0.24934604541046923,8.0
C035,san benito,San Benito,108.0,115.652348397862,0.933833177588953,10.5,-0.06383852156826109,5.0
C036,san bernardino,San Bernardino,3871.0,3777.89398441496,1.02464495191478,13.8,0.02447532145736453,5.0
C037,san diego,San Diego,7177.0,6953.91146271465,1.03208101490528,11.0,0.03164683135852897,3.0
C038,san francisco,San Francisco,2288.0,2086.24909095653,1.09670509140928,10.8,0.09252882084858882,1.0
C039,san joaquin,San Joaquin,1764.0,1416.81977219077,1.24504191332141,13.8,0.2194526012169966,7.0
C040,san luis obispo,San Luis Obispo,813.0,790.697362486689,1.02820628798251,13.0,0.02843063325656292,4.0
C041,san mateo,San Mateo,1773.0,1871.88580984894,0.947173161242717,6.7,-0.05399138195102626,3.0
C042,santa barbara,Santa Barbara,957.0,1016.4421811964,0.941519367952206,11.1,-0.05973803011685952,3.0
C043,santa clara,Santa Clara,3720.0,3985.25319381782,0.933441319555482,8.6,-0.0687427790857722,7.0
C044,santa cruz,Santa Cruz,538.0,624.834013179983,0.861028671057683,10.5,-0.1486985389556068,4.0
C045,shasta,Shasta,787.0,545.879875936878,1.44170912812878,20.6,0.3664644266016861,6.0
C046,sierra,Sierra,8.0,12.7682175045562,0.62655574258077,15.3,-0.40689291219736745,4.0
C047,siskiyou,Siskiyou,189.0,156.711900731642,1.20603476262884,24.7,0.18997993208610442,5.0
C048,solano,Solano,1209.0,990.207637380883,1.22095604432806,11.5,0.2000476741845354,4.0
C049,sonoma,Sonoma,1391.0,1359.60689337422,1.02308984073173,12.7,0.023186693008103276,4.0
C050,stanislaus,Stanislaus,1252.0,1076.72278159846,1.16278769372868,16.5,0.15121958763688514,7.0
C051,sutter,Sutter,276.0,225.707654073861,1.222820737438,14.9,0.20297022511373708,6.0
C052,tehama,Tehama,269.0,183.463229850759,1.46623386178703,18.9,0.3845541252183313,6.0
C053,trinity,Trinity,72.0,51.2427743252101,1.40507614874743,24.7,0.34701194255835155,5.0
C054,tulare,Tulare,747.0,807.263747877693,0.925348130600282,16.9,-0.07691613473666248,4.0
C055,tuolumne,Tuolumne,202.0,201.14318731315,1.00425971517254,19.2,0.006722857413640426,7.0
C056,ventura,Ventura,1795.0,1942.27071419704,0.924176010521825,10.4,-0.07857422515941526,3.0
C057,yolo,Yolo,405.0,399.279352588685,1.01432743109361,11.5,0.015459569842320775,6.0
C058,yuba,Yuba,225.0,143.679100009962,1.56598976458233,22.3,0.45073781825894876,6.0
