from_index,to_index,from_id,to_id,from_name,to_name,edge_dissimilarity,risk_contrast,dissimilarity_quintile
0,1,s02000260,s02000261,Auchinairn,Woodhill East,1.1184002875603676,0.7840596563571398,Q4
0,2,s02000260,s02000262,Auchinairn,Woodhill West,1.1929603067310588,0.6791857306556577,Q4
0,4,s02000260,s02000264,Auchinairn,Bishopbriggs West and Cadder,1.1184002875603676,0.8499336301833891,Q4
0,86,s02000260,s02000691,Auchinairn,Springburn,1.1929603067310588,0.21722954061141309,Q4
0,90,s02000260,s02000695,Auchinairn,Robroyston and Millerston,0.9692802492189853,1.1183220704837011,Q4
0,92,s02000260,s02000697,Auchinairn,Balornock,0.5219201341948383,0.06303073818102245,Q3
1,2,s02000261,s02000262,Woodhill East,Woodhill West,0.07456001917069122,0.10487392570148213,Q1
1,90,s02000261,s02000695,Woodhill East,Robroyston and Millerston,0.14912003834138232,0.3342624141265613,Q1
1,112,s02000261,s02000923,Woodhill East,Stepps,0.26096006709741904,0.09093736592738066,Q2
2,4,s02000262,s02000264,Woodhill West,Bishopbriggs West and Cadder,0.07456001917069122,0.1707478995277314,Q1
2,10,s02000262,s02000270,Woodhill West,Lenzie North,0.14912003834138243,0.12553200666495856,Q2
2,112,s02000262,s02000923,Woodhill West,Stepps,0.33552008626811025,0.013936559774101465,Q2
3,5,s02000263,s02000265,Westerton East,Westerton West,0.07456001917069122,0.11672447156943111,Q1
3,6,s02000263,s02000266,Westerton East,Kessington East,0.11184002875603682,0.3169819581634372,Q1
3,9,s02000263,s02000269,Westerton East,Kessington West,0.14912003834138243,0.09578134561117269,Q2
3,97,s02000263,s02000702,Westerton East,Anniesland East,0.29824007668276475,0.4641831664220377,Q2
3,100,s02000263,s02000705,Westerton East,Anniesland West,1.26752032590175,0.862148554142093,Q4
3,104,s02000263,s02000709,Westerton East,Blairdardie East,1.7894404600965883,0.816503135238428,Q5
3,105,s02000263,s02000710,Westerton East,Summerston North,1.5284803929991693,0.6962662677936184,Q5
4,8,s02000264,s02000268,Bishopbriggs West and Cadder,Bishopbriggs North and Kenmure,0.07456001917069122,0.179907362013342,Q1
4,10,s02000264,s02000270,Bishopbriggs West and Cadder,Lenzie North,0.07456001917069122,0.29627990619268996,Q1
4,18,s02000264,s02000278,Bishopbriggs West and Cadder,Torrance and Balmore,0.07456001917069122,0.16440826442800827,Q1
4,86,s02000264,s02000691,Bishopbriggs West and Cadder,Springburn,2.3113605942914264,1.0671631707948022,Q5
4,89,s02000264,s02000694,Bishopbriggs West and Cadder,Springburn East and Cowlairs,2.3859206134621176,0.5537177526122106,Q5
4,103,s02000264,s02000708,Bishopbriggs West and Cadder,Milton East,2.162240555950044,0.9307043715688419,Q5
4,108,s02000264,s02000713,Bishopbriggs West and Cadder,Summerston Central and West,1.1184002875603676,0.9771254351790475,Q4
5,9,s02000265,s02000269,Westerton West,Kessington West,0.22368005751207365,0.020943125958258424,Q2
5,11,s02000265,s02000271,Westerton West,South Castlehill and Thorn,0.22368005751207365,0.17071983770707888,Q2
5,104,s02000265,s02000709,Westerton West,Blairdardie East,1.714880440925897,0.9332276068078591,Q5
5,107,s02000265,s02000712,Westerton West,Drumchapel South,3.0569607859983385,1.0886398956911711,Q5
6,9,s02000266,s02000269,Kessington East,Kessington West,0.03728000958534561,0.4127633037746099,Q1
6,19,s02000266,s02000279,Kessington East,Keystone and Dougalston,0.11184002875603682,0.03492161341751476,Q1
6,105,s02000266,s02000710,Kessington East,Summerston North,1.6403204217552059,0.3792843096301812,Q5
6,108,s02000266,s02000713,Kessington East,Summerston Central and West,1.3793603546577868,0.6224349591439458,Q5
7,10,s02000267,s02000270,Lenzie South,Lenzie North,0.3355200862681105,0.5074107353465012,Q2
7,14,s02000267,s02000274,Lenzie South,Rosebank and Waterside,0.14912003834138243,0.4003050008700515,Q2
7,15,s02000267,s02000275,Lenzie South,Kirkintilloch South,0.6710401725362207,0.5812027695331139,Q3
7,112,s02000267,s02000923,Lenzie South,Stepps,0.5219201341948383,0.36794216890744114,Q3
7,113,s02000267,s02000925,Lenzie South,Chryston and Muirhead,0.9320002396336398,0.49730392322111827,Q4
8,18,s02000268,s02000278,Bishopbriggs North and Kenmure,Torrance and Balmore,0.14912003834138243,0.015499097585333743,Q2
8,19,s02000268,s02000279,Bishopbriggs North and Kenmure,Keystone and Dougalston,0.07456001917069122,0.20970472743927449,Q1
8,108,s02000268,s02000713,Bishopbriggs North and Kenmure,Summerston Central and West,1.1929603067310588,0.7972180731657055,Q4
9,11,s02000269,s02000271,Kessington West,South Castlehill and Thorn,0.0,0.1916629636653373,Q1
9,12,s02000269,s02000272,Kessington West,Kilmardinny West,0.03728000958534561,0.04678927110239961,Q1
9,13,s02000269,s02000273,Kessington West,Kilmardinny East,0.0,0.17667620244931692,Q1
9,19,s02000269,s02000279,Kessington West,Keystone and Dougalston,0.14912003834138243,0.44768491719212467,Q2
10,15,s02000270,s02000275,Lenzie North,Kirkintilloch South,0.33552008626811025,0.07379203418661273,Q2
10,18,s02000270,s02000278,Lenzie North,Torrance and Balmore,0.0,0.1318716417646817,Q1
10,21,s02000270,s02000281,Lenzie North,Kirkintilloch West,0.6710401725362205,0.39009427263819774,Q3
