display_id,area_id,area_name,atlas_region,area_name_korean
K001,11110,Jongno-gu,NW,종로구
K002,11140,Jung-gu,NW,중구
K003,11170,Yongsan-gu,NW,용산구
K004,11200,Seongdong-gu,NW,성동구
K005,11215,Gwangjin-gu,NW,광진구
K006,11230,Dongdaemun-gu,NW,동대문구
K007,11260,Jungnang-gu,NW,중랑구
K008,11290,Seongbuk-gu,NW,성북구
K009,11305,Gangbuk-gu,NW,강북구
K010,11320,Dobong-gu,NW,도봉구
K011,11350,Nowon-gu,NW,노원구
K012,11380,Eunpyeong-gu,NW,은평구
K013,11410,Seodaemun-gu,NW,서대문구
K014,11440,Mapo-gu,NW,마포구
K015,11470,Yangcheon-gu,NW,양천구
K016,11500,Gangseo-gu,NW,강서구
K017,11530,Guro-gu,NW,구로구
K018,11545,Geumcheon-gu,NW,금천구
K019,11560,Yeongdeungpo-gu,NW,영등포구
K020,11590,Dongjak-gu,NW,동작구
K021,11620,Gwanak-gu,NW,관악구
K022,11650,Seocho-gu,NW,서초구
K023,11680,Gangnam-gu,NW,강남구
K024,11710,Songpa-gu,NW,송파구
K025,11740,Gangdong-gu,NW,강동구
K026,26110,Jung-gu,SE,중구
K027,26140,Seo-gu,SE,서구
K028,26170,Dong-gu,SE,동구
K029,26230,Busanjin-gu,SE,부산진구
K030,26260,Dongnae-gu,SE,동래구
K031,26290,Nam-gu,SE,남구
K032,26320,Buk-gu,SE,북구
K033,26350,Haeundae-gu,SE,해운대구
K034,26380,Saha-gu,SE,사하구
K035,26410,Geumjeong-gu,SE,금정구
K036,26440,Gangseo-gu,SE,강서구
K037,26470,Yeonje-gu,SE,연제구
K038,26500,Suyeong-gu,SE,수영구
K039,26530,Sasang-gu,SE,사상구
K040,26710,Gijang-gun,SE,기장군
K041,27110,Jung-gu,SE,중구
K042,27140,Dong-gu,SE,동구
K043,27170,Seo-gu,SE,서구
K044,27200,Nam-gu,SE,남구
K045,27230,Buk-gu,SE,북구
K046,27260,Suseong-gu,SE,수성구
K047,27290,Dalseo-gu,SE,달서구
K048,27710,Dalseong-gun,SE,달성군
K049,28110,Jung-gu,NW,중구
K050,28140,Dong-gu,NW,동구
K051,28177,Michuhol-gu,NW,미추홀구
K052,28185,Yeonsu-gu,NW,연수구
K053,28200,Namdong-gu,NW,남동구
K054,28237,Bupyeong-gu,NW,부평구
K055,28245,Gyeyang-gu,NW,계양구
K056,28260,Seo-gu,NW,서구
K057,29110,Dong-gu,SW,동구
K058,29140,Seo-gu,SW,서구
