from_index,to_index,from_id,to_id,from_name,to_name,edge_dissimilarity,risk_contrast,dissimilarity_quintile
0,1,11110,11140,Jongno-gu,Jung-gu,1.0944446049760357,0.001680395447615446,Q4
0,5,11110,11230,Jongno-gu,Dongdaemun-gu,0.31804373136055897,0.05633218337912638,Q2
0,7,11110,11290,Jongno-gu,Seongbuk-gu,0.3273979587535147,0.03876098601941269,Q2
0,11,11110,11380,Jongno-gu,Eunpyeong-gu,0.37416909571830154,0.13514916878362992,Q2
0,12,11110,11410,Jongno-gu,Seodaemun-gu,0.44900291486196386,0.054841207350688315,Q2
0,88,11110,41281,Jongno-gu,"Deogyang-gu, Goyang-si",1.3283002897999752,0.1141484996328046,Q4
1,2,11140,11170,Jung-gu,Yongsan-gu,1.3376545171929324,0.13450738669858087,Q4
1,3,11140,11200,Jung-gu,Seongdong-gu,0.9728396488675866,0.08864858705661227,Q4
1,5,11140,11230,Jung-gu,Dongdaemun-gu,0.7764008736154768,0.05465178793151093,Q3
1,12,11140,11410,Jung-gu,Seodaemun-gu,0.6454416901140719,0.05316081190307287,Q3
1,13,11140,11440,Jung-gu,Mapo-gu,1.4873221554802554,0.0123866588375936,Q5
2,3,11170,11200,Yongsan-gu,Seongdong-gu,0.3648148683253458,0.045858799641968595,Q2
2,13,11170,11440,Yongsan-gu,Mapo-gu,0.149667638287323,0.12212072786098727,Q1
2,18,11170,11560,Yongsan-gu,Yeongdeungpo-gu,0.7857551010084358,0.1160725061207275,Q3
2,19,11170,11590,Yongsan-gu,Dongjak-gu,0.5706078709704114,0.10067555229349434,Q3
2,21,11170,11650,Yongsan-gu,Seocho-gu,1.4311967911225096,0.3740663249680427,Q5
3,4,11200,11215,Seongdong-gu,Gwangjin-gu,0.24320991221689658,0.09125418728272283,Q2
3,5,11200,11230,Seongdong-gu,Dongdaemun-gu,0.19643877525210973,0.03399679912510134,Q1
3,22,11200,11680,Seongdong-gu,Gangnam-gu,1.0102565584394194,0.3221864230319271,Q4
4,5,11215,11230,Gwangjin-gu,Dongdaemun-gu,0.04677113696478685,0.05725738815762149,Q1
4,6,11215,11260,Gwangjin-gu,Jungnang-gu,0.8325262379732243,0.11437401368879652,Q3
4,22,11215,11680,Gwangjin-gu,Gangnam-gu,1.2534664706563161,0.2309322357492043,Q4
4,23,11215,11710,Gwangjin-gu,Songpa-gu,1.7679489772689814,0.09089728443459855,Q5
4,24,11215,11740,Gwangjin-gu,Gangdong-gu,0.9728396488675882,0.000530103442526908,Q4
4,92,11215,41310,Gwangjin-gu,Guri-si,0.8138177831873096,0.16759528613420915,Q3
5,6,11230,11260,Dongdaemun-gu,Jungnang-gu,0.8792973749380113,0.057116625531175025,Q4
5,7,11230,11290,Dongdaemun-gu,Seongbuk-gu,0.009354227392955716,0.017571197359713686,Q1
6,7,11260,11290,Jungnang-gu,Seongbuk-gu,0.8699431475450555,0.07468782289088871,Q4
6,10,11260,11350,Jungnang-gu,Nowon-gu,1.3563629719788506,0.022985664509832304,Q4
6,92,11260,41310,Jungnang-gu,Guri-si,1.646344021160534,0.05322127244541264,Q5
7,8,11290,11305,Seongbuk-gu,Gangbuk-gu,1.3189460624070177,0.06280446789664218,Q4
7,10,11290,11350,Seongbuk-gu,Nowon-gu,0.486419824433795,0.09767348740072102,Q2
7,88,11290,41281,Seongbuk-gu,"Deogyang-gu, Goyang-si",1.0009023310464604,0.07538751361339191,Q4
8,9,11305,11320,Gangbuk-gu,Dobong-gu,1.4405510185154653,0.005427766595398786,Q5
8,88,11305,41281,Gangbuk-gu,"Deogyang-gu, Goyang-si",0.3180437313605573,0.01258304571674973,Q2
8,108,11305,41630,Gangbuk-gu,Yangju-si,0.41158600529013434,0.013128403600971339,Q2
9,10,11320,11350,Dobong-gu,Nowon-gu,0.3648148683253475,0.02944125290868005,Q2
9,79,11320,41150,Dobong-gu,Uijeongbu-si,1.1412157419408242,0.05776690534727624,Q4
9,108,11320,41630,Dobong-gu,Yangju-si,1.028965013225331,0.007700637005572553,Q4
10,79,11350,41150,Nowon-gu,Uijeongbu-si,1.5060306102661718,0.028325652438596194,Q5
10,92,11350,41310,Nowon-gu,Guri-si,0.28998104918168344,0.030235607935580333,Q2
10,93,11350,41360,Nowon-gu,Namyangju-si,1.2347580158704015,0.023568840492127485,Q4
11,12,11380,11410,Eunpyeong-gu,Seodaemun-gu,0.07483381914366233,0.08030796143294161,Q1
11,88,11380,41281,Eunpyeong-gu,"Deogyang-gu, Goyang-si",0.9541311940816735,0.021000669150825324,Q4
12,13,11410,11440,Seodaemun-gu,Mapo-gu,0.8418804653661834,0.04077415306547927,Q3
13,15,11440,11500,Mapo-gu,Gangseo-gu,0.4677113696478786,0.07074917816254533,Q2
13,18,11440,11560,Mapo-gu,Yeongdeungpo-gu,0.6360874627211128,0.006048221740259763,Q3
13,88,11440,41281,Mapo-gu,"Deogyang-gu, Goyang-si",1.7211778403041946,0.10008144534759555,Q5
14,15,11470,11500,Yangcheon-gu,Gangseo-gu,1.0009023310464586,0.04456695709423819,Q4
14,16,11470,11530,Yangcheon-gu,Guro-gu,0.5238367340056227,0.008581429602057433,Q2
14,18,11470,11560,Yangcheon-gu,Yeongdeungpo-gu,0.1028965013225327,0.02013399932804738,Q1
14,82,11470,41190,Yangcheon-gu,Bucheon-si,1.3095918350140603,0.12297294677654769,Q4
15,18,11500,11560,Gangseo-gu,Yeongdeungpo-gu,1.1037988323689913,0.06470095642228557,Q4
15,54,11500,28245,Gangseo-gu,Gyeyang-gu,1.786657432054898,0.21718358963900286,Q5
15,82,11500,41190,Gangseo-gu,Bucheon-si,0.30868950396760153,0.0784059896823095,Q2
15,105,11500,41570,Gangseo-gu,Gimpo-si,0.06547959175070162,0.041453957467278535,Q1
16,17,11530,11545,Guro-gu,Geumcheon-gu,1.608927111588703,0.03974439650659889,Q5
16,18,11530,11560,Guro-gu,Yeongdeungpo-gu,0.6267332353281554,0.028715428930104814,Q3
16,20,11530,11620,Guro-gu,Gwanak-gu,1.272174925442231,0.0034488958871996545,Q4
16,82,11530,41190,Guro-gu,Bucheon-si,0.7857551010084376,0.11439151717449025,Q3
16,83,11530,41210,Guro-gu,Gwangmyeong-si,0.0374169095718313,0.13091277866464512,Q1
17,20,11545,11620,Geumcheon-gu,Gwanak-gu,0.33675218614647207,0.036295500619399235,Q2
17,80,11545,41171,Geumcheon-gu,"Manan-gu, Anyang-si",0.7764008736154785,0.03862256382500373,Q3
17,83,11545,41210,Geumcheon-gu,Gwangmyeong-si,1.5715102020168716,0.09116838215804624,Q5
18,19,11560,11590,Yeongdeungpo-gu,Dongjak-gu,0.21514723003802438,0.015396953827233162,Q1
18,20,11560,11620,Yeongdeungpo-gu,Gwanak-gu,1.8989081607703864,0.03216432481730447,Q5
19,20,11590,11620,Dongjak-gu,Gwanak-gu,1.683760930732362,0.016767370990071306,Q5
19,21,11590,11650,Dongjak-gu,Seocho-gu,0.8605889201520982,0.27339077267454837,Q3
20,21,11620,11650,Gwanak-gu,Seocho-gu,2.54434985088446,0.29015814366461967,Q5
20,80,11620,41171,Gwanak-gu,"Manan-gu, Anyang-si",0.4396486874690064,0.07491806444440297,Q2
20,81,11620,41173,Gwanak-gu,"Dongan-gu, Anyang-si",1.7585947498760242,0.06310107458496894,Q5
20,91,11620,41290,Gwanak-gu,Gwacheon-si,3.7042740476111993,0.24980727419205717,Q5
21,22,11650,11680,Seocho-gu,Gangnam-gu,0.785755101008436,0.006021102294146985,Q3
21,76,11650,41131,Seocho-gu,"Sujeong-gu, Seongnam-si",4.059734688543587,0.3998470743286475,Q5
21,91,11650,41290,Seocho-gu,Gwacheon-si,1.159924196726739,0.0403508694725625,Q4
22,23,11680,11710,Gangnam-gu,Songpa-gu,0.5144825066126655,0.14003495131460575,Q2
22,76,11680,41131,Gangnam-gu,"Sujeong-gu, Seongnam-si",3.273979587535152,0.39382597203450054,Q5
23,24,11710,11740,Songpa-gu,Gangdong-gu,0.7951093284013933,0.09142738787712545,Q3
23,76,11710,41131,Songpa-gu,"Sujeong-gu, Seongnam-si",3.788462094147817,0.2537910207198948,Q5
23,98,11710,41450,Songpa-gu,Hanam-si,0.7576924188295622,0.13787255622493877,Q3
24,98,11740,41450,Gangdong-gu,Hanam-si,0.03741690957183108,0.046445168347813315,Q1
