"from_index","to_index","from_id","to_id","edge_dissimilarity","boundary_prob","w_posterior","boundary_median"
2,3,"alpine","amador",0,0,1,0
2,5,"alpine","calaveras",0,0,1,0
3,5,"amador","calaveras",0,0,1,0
4,6,"butte","colusa",0.697813817344803,0,1,0
1,7,"alameda","contra costa",0.255865066359761,0,1,0
2,9,"alpine","el dorado",0.767595199079284,0,1,0
3,9,"amador","el dorado",0.767595199079284,0,1,0
4,11,"butte","glenn",0.697813817344803,0,1,0
6,11,"colusa","glenn",0,0,1,0
8,12,"del norte","humboldt",2.39582743955049,0.9627,0,1
10,14,"fresno","inyo",1.51192993758041,0.1986,1,0
14,15,"inyo","kern",0.488469672141362,0,1,0
10,16,"fresno","kings",1.20954395006433,0.1431,1,0
15,16,"kern","kings",0.186083684625281,0,1,0
6,17,"colusa","lake",1.53519039815857,0.2098,1,0
11,17,"glenn","lake",1.53519039815857,0.2098,1,0
15,19,"kern","los angeles",0.721074277922964,0,1,0
10,20,"fresno","madera",1.97713914914361,0.902,0,1
20,22,"madera","mariposa",2.00039960972177,0.9067,0,1
11,23,"glenn","mendocino",0.907157962548244,0,1,0
12,23,"humboldt","mendocino",0.139562763468961,0,1,0
17,23,"lake","mendocino",2.44234836070681,0.9678,0,1
10,24,"fresno","merced",0.628032435610324,0,1,0
20,24,"madera","merced",1.34910671353329,0.1643,1,0
22,24,"mariposa","merced",0.651292896188483,0,1,0
18,25,"lassen","modoc",0,0,1,0
2,26,"alpine","mono",0,0,1,0
10,26,"fresno","mono",1.51192993758041,0.1986,1,0
14,26,"inyo","mono",0,0,1,0
20,26,"madera","mono",0.465209211563202,0,1,0
10,27,"fresno","monterey",1.97713914914361,0.902,0,1
15,27,"kern","monterey",0.953678883704565,0.0234,1,0
16,27,"kings","monterey",0.767595199079284,0,1,0
17,28,"lake","napa",2.30278559723785,0.9567,0,1
19,30,"los angeles","orange",0.116302302890801,0,1,0
9,31,"el dorado","placer",1.60497177989305,0.6549,0,1
29,31,"nevada","placer",1.46540901642409,0.1809,1,0
