"from_index","to_index","from_id","to_id","edge_dissimilarity","boundary_prob","w_posterior","boundary_median"
1,2,"11110","11140",1.09672232774154,0,1,0
2,3,"11140","11170",1.34043840057299,0.0144,1,0
2,4,"11140","11200",0.974864291325813,0,1,0
3,4,"11170","11200",0.365574109247181,0,1,0
4,5,"11200","11215",0.243716072831453,0,1,0
1,6,"11110","11230",0.318705633702671,0,1,0
2,6,"11140","11230",0.778016694038869,0,1,0
4,6,"11200","11230",0.196847597286944,0,1,0
5,6,"11215","11230",0.0468684755445093,0,1,0
5,7,"11215","11260",0.834258864692283,0,1,0
6,7,"11230","11260",0.881127340236793,0,1,0
1,8,"11110","11290",0.328079328811572,0,1,0
6,8,"11230","11290",0.00937369510890024,0,1,0
7,8,"11260","11290",0.871753645127892,0,1,0
8,9,"11290","11305",1.32169101035519,0.00609999999999999,1,0
9,10,"11305","11320",1.44354904677092,0.0901,1,0
7,11,"11260","11350",1.3591857907908,0.0256,1,0
8,11,"11290","11350",0.487432145662908,0,1,0
10,11,"11320","11350",0.365574109247182,0,1,0
1,12,"11110","11380",0.374947804356081,0,1,0
1,13,"11110","11410",0.449937365227299,0,1,0
2,13,"11140","11410",0.646784962514241,0,1,0
12,13,"11380","11410",0.0749895608712182,0,1,0
2,14,"11140","11440",1.49041752231543,0.1086,1,0
3,14,"11170","11440",0.149979121742435,0,1,0
13,14,"11410","11440",0.843632559801187,0,1,0
14,16,"11440","11500",0.468684755445103,0,1,0
15,16,"11470","11500",1.00298537665252,0,1,0
15,17,"11470","11530",0.524926926098514,0,1,0
17,18,"11530","11545",1.61227555873115,0.2907,1,0
3,19,"11170","11560",0.787390389147772,0,1,0
14,19,"11440","11560",0.637411267405338,0,1,0
15,19,"11470","11560",0.103110646197922,0,1,0
16,19,"11500","11560",1.10609602285044,0,1,0
17,19,"11530","11560",0.628037572296436,0,1,0
3,20,"11170","11590",0.571795401643025,0,1,0
19,20,"11560","11590",0.215594987504748,0,1,0
17,21,"11530","11620",1.27482253481068,0.00360000000000005,1,0
18,21,"11545","11620",0.337453023920473,0,1,0
19,21,"11560","11620",1.90286010710712,0.4898,1,0
20,21,"11590","11620",1.68726511960237,0.3878,1,0
3,22,"11170","11650",1.43417535166202,0.0873,1,0
20,22,"11590","11650",0.86237995001899,0,1,0
21,22,"11620","11650",2.54964506962136,0.5752,0,1
4,23,"11200","11680",1.01235907176142,0,1,0
5,23,"11215","11680",1.25607514459288,0.00339999999999996,1,0
22,23,"11650","11680",0.787390389147772,0,1,0
5,24,"11215","11710",1.77162837558249,0.442,1,0
23,24,"11680","11710",0.515553230989612,0,1,0
5,25,"11215","11740",0.974864291325814,0,1,0
24,25,"11710","11740",0.796764084256674,0,1,0
26,27,"26110","26140",2.2684342163543,0.525,0,1
26,28,"26110","26170",2.40903964298783,0.5372,0,1
