"index","area_id","observed","expected","covariate_raw","covariate_std","fitted_values","risk_carbayes"
1,"alameda",3416,3429.35119454417,11.5,-0.717865938532873,3426.35826700742,0.999127261290265
2,"alpine",2,3.55550755919808,12.6,-0.462000872173111,3.90271896016608,1.09765452475829
3,"amador",209,144.847881111858,12.6,-0.462000872173111,190.746234589669,1.31687279872852
4,"butte",849,612.78692441376,15.9,0.305594326906173,842.372954652465,1.37465882689704
5,"calaveras",191,178.223311061036,12.6,-0.462000872173111,198.511130239211,1.11383370142431
6,"colusa",57,47.7002044065521,18.9,1.00340814425098,62.6590515773729,1.31360132219404
7,"contra costa",2665,2647.86255719695,12.6,-0.462000872173111,2683.76166255178,1.0135577676633
8,"del norte",93,72.3113363377492,24.7,2.35251485778426,92.5403890098806,1.27974939610639
9,"el dorado",593,552.26773898515,15.9,0.305594326906173,603.25640787883,1.09232599569799
10,"fresno",1946,1819.4667009013,19.1,1.0499290654073,1941.04124143142,1.06681877743071
11,"glenn",101,68.7781574989411,18.9,1.00340814425098,96.8765350863441,1.40853635237082
12,"humboldt",463,344.54311150598,14.4,-0.0433125817662291,459.599781863694,1.33393983659928
13,"imperial",322,355.083168883852,10.2,-1.02025192604895,329.148453666728,0.926961575513011
14,"inyo",71,63.0410966168786,12.6,-0.462000872173111,66.5634198879114,1.05587344541988
15,"kern",1687,1503.25668737611,14.7,0.026468799968251,1651.88262936763,1.09886930371881
16,"kings",237,243.306713139417,13.9,-0.15961488465703,239.297781360684,0.983523135358637
17,"lake",367,213.482552419816,25.5,2.53859854240954,359.089195980015,1.68205406910192
18,"lassen",76,68.7666044644875,15.3,0.166031563437212,77.9127920718302,1.13300333321047
19,"los angeles",18305,20958.8768282324,11.6,-0.694605477954713,18330.0214625626,0.87457078987512
20,"madera",361,326.839799897474,10.6,-0.927210083736314,358.547266231326,1.09701225598534
21,"marin",680,823.258889818088,8.9,-1.32263791356504,686.515408099055,0.833899781210685
22,"mariposa",76,70.2288814001238,19.2,1.07318952598546,77.0080358442968,1.09652943787541
23,"mendocino",305,262.973164462428,15,0.0962501817027315,313.719844726158,1.19297284712479
24,"merced",537,472.457272054644,16.4,0.421896629796973,529.145669264178,1.11998629413196
25,"modoc",32,34.327349992298,15.3,0.166031563437212,38.1350199869666,1.11092234021918
26,"mono",20,31.8834487139292,12.6,-0.462000872173111,31.4378307105283,0.986023531914658
27,"monterey",763,876.750814479617,10.6,-0.927210083736314,778.697363307388,0.888162691664646
28,"napa",429,390.569207692404,15.6,0.235812945171692,428.365170762061,1.09677148716604
29,"nevada",345,366.178227354089,15.3,0.166031563437212,350.122536310231,0.95615334325071
30,"orange",6508,6984.76624497194,11.1,-0.810907780845513,6518.25002948268,0.933209473427248
31,"placer",1118,1057.30422304696,9,-1.29937745298688,1121.76493191767,1.06096704001138
32,"plumas",74,75.1733838477286,15.3,0.166031563437212,86.3733424019612,1.14898835174055
33,"riverside",5294,5091.77767508624,11.8,-0.648084556798392,5290.20602312106,1.03897034801926
34,"sacramento",4078,3178.41685455885,15.9,0.305594326906173,4059.27352895399,1.27713692530032
35,"san benito",108,115.652348397862,10.5,-0.950470544314474,108.79321511267,0.940691794155394
36,"san bernardino",3871,3777.89398441496,13.8,-0.18287534523519,3869.2675969683,1.02418638874735
37,"san diego",7177,6953.91146271465,11,-0.834168241423673,7173.47955534517,1.03157476102591
38,"san francisco",2288,2086.24909095653,10.8,-0.880689162579993,2285.49293493772,1.09550338204813
39,"san joaquin",1764,1416.81977219077,13.8,-0.18287534523519,1743.57657652941,1.23062693699805
40,"san luis obispo",813,790.697362486689,13,-0.368959029860471,807.941575398611,1.0218088661099
41,"san mateo",1773,1871.88580984894,6.7,-1.83436804628456,1775.37892160704,0.94844403022122
42,"santa barbara",957,1016.4421811964,11.1,-0.810907780845513,963.361165940854,0.94777763434309
43,"santa clara",3720,3985.25319381782,8.6,-1.39241929529952,3730.02005660006,0.935955603118594
44,"santa cruz",538,624.834013179983,10.5,-0.950470544314474,545.508831261188,0.873045992622772
45,"shasta",787,545.879875936878,20.6,1.3988359740797,768.29957066394,1.40745172066534
46,"sierra",8,12.7682175045562,15.3,0.166031563437212,13.0847704703967,1.02479225982229
47,"siskiyou",189,156.711900731642,24.7,2.35251485778426,195.967111451784,1.25049285049107
48,"solano",1209,990.207637380883,11.5,-0.717865938532873,1198.27349325618,1.21012346100019
49,"sonoma",1391,1359.60689337422,12.7,-0.438740411594951,1391.78905257123,1.02367019419646
50,"stanislaus",1252,1076.72278159846,16.5,0.445157090375133,1243.34428993517,1.15474875351792
51,"sutter",276,225.707654073861,14.9,0.0729897211245715,275.726121938097,1.22160731796835
52,"tehama",269,183.463229850759,18.9,1.00340814425098,257.296781786237,1.40244332335989
53,"trinity",72,51.2427743252101,24.7,2.35251485778426,70.5031822183198,1.37586582980215
54,"tulare",747,807.263747877693,16.9,0.538198932687773,759.925114751305,0.941359149037917
55,"tuolumne",202,201.14318731315,19.2,1.07318952598546,210.014182590963,1.04410288708412
56,"ventura",1795,1942.27071419704,10.4,-0.973731004892634,1799.93290050437,0.92671577002513
57,"yolo",405,399.279352588685,11.5,-0.717865938532873,420.909196774633,1.05417220811874
58,"yuba",225,143.679100009962,22.3,1.79426380390842,220.747056031643,1.53638946803215
