"draw","beta_0","alpha","tau2"
1,0.0966216044241082,0.428454268330419,0.0400993831058197
2,0.103763562274921,0.463740232292725,0.024376445614518
3,0.0711019523467338,0.431300781776221,0.0384937740975329
4,0.0964901510505344,0.433679308003464,0.0300124247998943
5,0.100209316480736,0.417555216155411,0.053420056514338
6,0.10696264542157,0.44472338674256,0.0389436012152867
7,0.105643021853035,0.447742382215879,0.0456689880473001
8,0.086545956527643,0.434756078878637,0.0329135582069956
9,0.066660153938143,0.45559795959091,0.0250141464090376
10,0.0855811447671092,0.449502800194109,0.0368809390754209
11,0.0818420426090264,0.435623981745703,0.0376287994798853
12,0.0858948774119582,0.433515912459069,0.028289942073322
13,0.103893357107322,0.451099330689727,0.0394289485953129
14,0.0879193604349089,0.449527422349092,0.0268538435477231
15,0.0949163614082921,0.42981034649087,0.0303796543229083
16,0.0971096155111216,0.441003838675356,0.0444112844507738
17,0.0766212804464529,0.430548233173679,0.0390317215674583
18,0.0766212804464529,0.443611350505272,0.0251838447742677
19,0.0825362570442004,0.433941946751092,0.0393439372292351
20,0.0825920338112744,0.429279653564974,0.0456028208505288
21,0.1038433658959,0.444811310169746,0.0298990668519185
22,0.11276307393289,0.449388025342205,0.0370577796791324
23,0.0941514672269269,0.448635709000416,0.0561692494087132
24,0.0993632403667653,0.437084315932566,0.0491236663243246
25,0.0896817938944775,0.431145660717515,0.0327335829924284
26,0.112335642485479,0.440197731709868,0.0300273368992726
27,0.0871848947714028,0.50019301326613,0.0440929552150429
28,0.0973595663210363,0.436332103827172,0.0363237420133531
29,0.091777520082116,0.44898495675758,0.0304597185101942
30,0.0928147661490618,0.432918679820306,0.0295640390772457
31,0.0886987831465234,0.427844972342398,0.0398507551115508
32,0.0842642646435959,0.446430852125441,0.0440435738190655
33,0.0771655576759641,0.460314832110618,0.0265358897712741
34,0.0848198915863195,0.456761776489445,0.0371896187838789
35,0.106699891746419,0.445864369174394,0.0351688326282059
36,0.107259165419601,0.447337404564843,0.0372996833468641
37,0.107259165419601,0.434171507078556,0.0298746261701248
38,0.0747928401067652,0.432840304413998,0.0419516003527546
39,0.0999624286139958,0.403081399308197,0.0381171085340744
40,0.0963118236114631,0.457311581343346,0.0267156832878845
41,0.0869358656546567,0.431762361267991,0.0421815048641725
42,0.0822608778574423,0.451150662433751,0.0519021353316087
43,0.0948875186300616,0.442844106537746,0.0541049115845438
44,0.0959269358828615,0.448124540038986,0.0298768130660052
45,0.0939452202824691,0.445458357172201,0.0485141576385869
46,0.0965888567525325,0.455016670658841,0.0241258128146178
47,0.0894177090720431,0.429545530973446,0.045693686912194
48,0.09419690493753,0.430418781007583,0.0438950556926998
49,0.105169749116845,0.43459225902937,0.0461685951076494
50,0.110226718198034,0.429458691930821,0.0329263174878402
51,0.0962007665543168,0.433035196326245,0.0335881747080407
52,0.0916297878005246,0.429594943081333,0.0332301577522896
53,0.102003508381392,0.433972433347081,0.0557543871406595
54,0.108753469332132,0.429200581032999,0.0315723829432575
55,0.0928792805517858,0.439170530501295,0.0306467361828002
56,0.0756358346938891,0.428533249294368,0.0333289518877157
57,0.0927702288042507,0.460487290405,0.0313898382825645
58,0.113017213210854,0.421369576899302,0.0357118098111781
59,0.0759197962418733,0.450518914747103,0.0432510723268502
60,0.104723017409143,0.451132918404158,0.0400392709724945
61,0.107363436279094,0.444852431909672,0.0306630137332192
62,0.0907166298445586,0.433573759987243,0.0399453560918071
63,0.0970980146973345,0.432391470424415,0.0351926126198225
64,0.106940557074221,0.448414848200246,0.0365911432147984
65,0.100446844140495,0.442617559774628,0.0282362710044211
66,0.080541488106064,0.427473133295609,0.0282175228821806
67,0.132813847179984,0.44556287117998,0.0287830661702902
68,0.12634699311908,0.43472197912325,0.0335681743127857
69,0.12634699311908,0.419402915251256,0.0391641109334604
70,0.0834859119657331,0.428512328626313,0.0255125632798822
71,0.0579895177681148,0.457631425868268,0.0296762784844461
72,0.0579895177681148,0.361491455893336,0.0367254820448806
73,0.0579895177681148,0.439763793583187,0.031858862118645
74,0.0579895177681148,0.44155467082208,0.0327927712729055
75,0.0926338764283003,0.448814111214817,0.0337513285928353
76,0.0897586113263238,0.452011391541856,0.0303758686314329
77,0.0980887076869992,0.430989061365708,0.0301585575574545
78,0.0890897601051487,0.41067972291688,0.0417874342571773
79,0.102570307666011,0.426360051497195,0.0632410847559128
80,0.0973428101215468,0.448488803042254,0.0298193489649475
81,0.0911924985277262,0.429955885795109,0.0284668264786924
82,0.0960856994489288,0.450869749419833,0.0295789487186792
83,0.0863020657952455,0.450882830274783,0.0384306026162956
84,0.0998019671579566,0.426468326592457,0.0294594210173675
85,0.103358216895866,0.428203065621484,0.033388741156388
86,0.108553298799082,0.427997182470679,0.039953805514099
87,0.126787677589838,0.375309592941626,0.0612259979124602
88,0.118631821497407,0.436806001493936,0.0490629046230303
89,0.118631821497407,0.44657526196104,0.0442915745090526
90,0.0728471844554237,0.434274796709513,0.0361959856616199
91,0.0970691604141197,0.438939556756381,0.0257997791749182
92,0.0920697504645434,0.425994231801568,0.0439787010105291
93,0.0956419163682818,0.448147943091636,0.0381688138471509
94,0.093780191069717,0.435304088861227,0.0311582331770727
95,0.0932109056771539,0.430304418253348,0.0348600328955242
96,0.0836973955406164,0.438300859357526,0.0312258720004485
97,0.0940559676385747,0.425875184059716,0.040810878755602
98,0.0944878364032648,0.42696594954014,0.0335172482197017
99,0.108522727136035,0.457899388945816,0.0347556392970544
100,0.0982481503989718,0.446341570323609,0.03485383181869
101,0.107148848115885,0.448831010387207,0.0239443720725082
102,0.103072768966415,0.452654929180684,0.0316083345673839
103,0.0918838468816342,0.454098948556869,0.0340353767218228
104,0.117702846990857,0.426357627269007,0.0305741821453703
105,0.0833561703307572,0.448534727964956,0.0556013293925297
106,0.0917327085540194,0.448401244947511,0.0208826265476448
107,0.101276702423832,0.432289282093334,0.0446155631117446
108,0.115801898207666,0.439789271950475,0.0332796680413881
109,0.115801898207666,0.322876477093758,0.0543572762795246
110,0.0921438935995607,0.244479343396101,0.0418803685450934
111,0.0850856421265683,0.236984108425717,0.0613384168509003
112,0.0935270964295258,0.20631810953369,0.0594049889272549
113,0.0844227733882346,0.243371271690673,0.0313301688745772
114,0.110895521209358,0.343759029998529,0.0487085480383688
115,0.091107186637165,0.334767248276612,0.0534080983793763
116,0.0816223988261855,0.450195233156382,0.0414879084474875
117,0.102900334210202,0.32770966189315,0.0497330997993345
118,0.08706740632429,0.439032357849169,0.0379405438389294
119,0.0985823647612025,0.437729202662759,0.038602436599086
120,0.0722313947967516,0.416064710055279,0.0422812250042941
121,0.0760618720760678,0.464521011024552,0.0357615183135429
122,0.0853678931890273,0.445972013237171,0.0383588654475877
123,0.103178844145284,0.441835893189649,0.0449581539112963
124,0.110975324467956,0.444511853461116,0.0556217327355863
125,0.0923180644399142,0.434306789408442,0.0486154329921493
126,0.101008007009374,0.445992405268325,0.0416634036986149
127,0.104179308760108,0.412677390426532,0.0291251577320208
