"from_index","to_index","from_id","to_id","edge_dissimilarity","boundary_prob","w_posterior","boundary_median"
1,2,"S02000260","S02000261",1.12259692627336,0.9936,0,1
1,3,"S02000260","S02000262",1.19743672135825,0.9978,0,1
2,3,"S02000261","S02000262",0.0748397950848905,0,1,0
1,5,"S02000260","S02000264",1.12259692627336,0.9936,0,1
3,5,"S02000262","S02000264",0.0748397950848905,0,1,0
4,6,"S02000263","S02000265",0.0748397950848902,0,1,0
4,7,"S02000263","S02000266",0.112259692627336,0,1,0
5,9,"S02000264","S02000268",0.0748397950848905,0,1,0
4,10,"S02000263","S02000269",0.149679590169781,0,1,0
6,10,"S02000265","S02000269",0.224519385254671,0,1,0
7,10,"S02000266","S02000269",0.0374198975424451,0,1,0
3,11,"S02000262","S02000270",0.149679590169781,0,1,0
5,11,"S02000264","S02000270",0.0748397950848902,0,1,0
8,11,"S02000267","S02000270",0.336779077882007,0,1,0
6,12,"S02000265","S02000271",0.224519385254671,0,1,0
10,12,"S02000269","S02000271",0,0,1,0
10,13,"S02000269","S02000272",0.0374198975424451,0,1,0
12,13,"S02000271","S02000272",0.0374198975424451,0,1,0
10,14,"S02000269","S02000273",0,0,1,0
13,14,"S02000272","S02000273",0.0374198975424451,0,1,0
8,15,"S02000267","S02000274",0.149679590169781,0,1,0
8,16,"S02000267","S02000275",0.673558155764013,0,1,0
11,16,"S02000270","S02000275",0.336779077882007,0,1,0
15,16,"S02000274","S02000275",0.523878565594232,0,1,0
12,17,"S02000271","S02000276",0,0,1,0
13,17,"S02000272","S02000276",0.0374198975424451,0,1,0
14,17,"S02000273","S02000276",0,0,1,0
15,18,"S02000274","S02000277",1.53421579924025,1,0,1
16,18,"S02000275","S02000277",1.01033723364602,0,1,0
5,19,"S02000264","S02000278",0.0748397950848902,0,1,0
9,19,"S02000268","S02000278",0.149679590169781,0,1,0
11,19,"S02000270","S02000278",0,0,1,0
7,20,"S02000266","S02000279",0.112259692627336,0,1,0
9,20,"S02000268","S02000279",0.0748397950848902,0,1,0
10,20,"S02000269","S02000279",0.149679590169781,0,1,0
14,20,"S02000273","S02000279",0.149679590169781,0,1,0
17,20,"S02000276","S02000279",0.149679590169781,0,1,0
19,20,"S02000278","S02000279",0.224519385254671,0,1,0
18,21,"S02000277","S02000280",0.598718360679123,0,1,0
11,22,"S02000270","S02000281",0.673558155764013,0,1,0
16,22,"S02000275","S02000281",0.336779077882007,0,1,0
18,22,"S02000277","S02000281",0.673558155764013,0,1,0
19,22,"S02000278","S02000281",0.673558155764013,0,1,0
21,22,"S02000280","S02000281",0.0748397950848904,0,1,0
20,23,"S02000279","S02000282",0.0748397950848905,0,1,0
15,24,"S02000274","S02000283",0.898077541018684,0,1,0
18,24,"S02000277","S02000283",0.636138258221568,0,1,0
21,24,"S02000280","S02000283",0.0374198975424452,0,1,0
22,24,"S02000281","S02000283",0.0374198975424452,0,1,0
