"draw","beta_0","alpha","tau2"
1,-0.223302152164877,0.66278869989564,0.128742233537877
2,-0.224383181794493,0.671482757762613,0.147310725615059
3,-0.223765346172528,0.624433575656108,0.143688787290737
4,-0.214917123390797,0.674856718139239,0.13533628942485
5,-0.228439583800118,0.67252995967141,0.17792113490589
6,-0.226904583638432,0.676684161975697,0.202743738961797
7,-0.228874169332113,0.678305799291528,0.120865323835248
8,-0.239607005318329,0.668343863079471,0.140961270173459
9,-0.219782093167667,0.674680228868156,0.124871819173071
10,-0.21039557160576,0.669169282675423,0.133903607903063
11,-0.238798056490131,0.666017651198021,0.0874508655800252
12,-0.229674955987919,0.683097179948066,0.12378129187667
13,-0.230490841080018,0.685503285024692,0.140763655050847
14,-0.226815549812744,0.643099633351787,0.134198644490686
15,-0.226994636465636,0.672984901948749,0.106713652865286
16,-0.226586268535206,0.685214183846584,0.157127121959065
17,-0.212034524562284,0.675134055642991,0.155996591715988
18,-0.228475636412856,0.682841738294722,0.144832434213366
19,-0.234805354295367,0.680098157869828,0.151474427045508
20,-0.235623978998197,0.671357518750958,0.16925644959033
21,-0.21018440701658,0.666910707280339,0.160533264885799
22,-0.202034290863082,0.662790193624317,0.101852890094476
23,-0.236922231577349,0.669330765724917,0.147191042393776
24,-0.223457976248979,0.677876698088343,0.104898298972783
25,-0.227786125890091,0.653512516435065,0.170569770825487
26,-0.214620148019551,0.663976633123825,0.149957867730294
27,-0.214096658456608,0.656470407127854,0.196854257972999
28,-0.224099358012386,0.676743984530171,0.129422086123242
29,-0.216386872240433,0.677541280273614,0.127734770800217
30,-0.2217918957676,0.662445918199521,0.133094941468396
31,-0.234082914540967,0.678542518697122,0.129316584666204
32,-0.210641579358644,0.670027436592385,0.157337789841769
33,-0.197564445036994,0.679922994426514,0.132841969648627
34,-0.219177143169693,0.657026771559753,0.123282898675467
35,-0.211895001319894,0.683756957864509,0.123339330384327
36,-0.226021365008447,0.66305014245613,0.115502953055876
37,-0.206426129441982,0.673392597030046,0.116983124399404
38,-0.221489991257669,0.620962601029338,0.169150050139254
39,-0.227074340674111,0.680312685071114,0.132148822778772
40,-0.212855600870808,0.679409278654219,0.117257809911777
41,-0.231304208728952,0.685729011327786,0.100469258930423
42,-0.205487807501485,0.663894774478009,0.114757537906971
43,-0.220066375255471,0.662374084332805,0.12046349615299
44,-0.217578296704958,0.680117912292387,0.143890709721529
45,-0.218235220396064,0.628497608437189,0.144535104713464
46,-0.208841831222984,0.645513379868105,0.12305810098217
47,-0.217744163576458,0.677885546190401,0.105578292190849
48,-0.213824220408507,0.624254655651417,0.177165021180071
49,-0.22056457440508,0.637407735071461,0.162130382485385
50,-0.215833083062663,0.622091145437878,0.183637271932147
51,-0.208359405397515,0.618700400627062,0.123329035329929
52,-0.220291292099684,0.670396309618699,0.121838494045055
53,-0.206651966204004,0.650093637463591,0.125571972355761
54,-0.225084080958235,0.632538509153611,0.165204651562721
55,-0.201506364149144,0.66623881288784,0.138925554702879
56,-0.204258293537035,0.642831443361392,0.12334640073077
57,-0.207743872616103,0.675817261821509,0.133779655197407
58,-0.223251355543905,0.632418826008299,0.166555779039804
59,-0.228221216514808,0.684790136746146,0.168348174387517
60,-0.220984628262208,0.667107125320527,0.107034926674757
61,-0.210189709414681,0.646162048482755,0.186091398654535
62,-0.244642235621323,0.676690147577709,0.148842287959457
63,-0.217120215054582,0.666221519574311,0.115938437490922
64,-0.200173982213476,0.677077522141063,0.0983773311714306
65,-0.218364920417756,0.680908944233258,0.16116236538144
66,-0.205071323217068,0.678098905914408,0.129143592865156
67,-0.244887992363805,0.675668577579438,0.126360135864469
68,-0.219244127733409,0.679483294464246,0.166966892328097
69,-0.210813154039144,0.639618995544476,0.172568041354725
70,-0.235990029985916,0.667462006863879,0.155623176326548
