"draw","beta_0","alpha","tau2"
1,0.0199409647664298,0.392436541489024,0.0197899584149183
2,0.0213330951272429,0.393942764873359,0.0133854020392383
3,0.0193562721516727,0.390238667704324,0.013299072530617
4,0.0157374858857312,0.387531669267094,0.0149608224511899
5,0.0158632821857425,0.37387301782565,0.0148623059454793
6,0.0188672044177297,0.41091623745483,0.0107320583506047
7,0.0176991638485865,0.432293152340576,0.011632029048368
8,0.0211698266054097,0.389246447619668,0.0172051948077093
9,0.0236425170746923,0.373014402903066,0.0141091322683213
10,0.0102156320030219,0.39872905499207,0.0133227878268215
11,0.0232404415650222,0.399613634834668,0.0130258785422524
12,0.0199640290811185,0.41406081701509,0.0124169834609568
13,0.0159200948059937,0.398041556378275,0.0132838519678066
14,0.0197571627366624,0.446742890035215,0.0162391317880587
15,0.0204082353997952,0.396209844765439,0.018598015640036
16,0.0160048792430596,0.37842881723022,0.0144287068085815
17,0.0130407466892594,0.395943110932014,0.0177978876584939
18,0.0168480688385632,0.385719504883786,0.0145327287158181
19,0.0104717111389422,0.441404011919606,0.0157129974298926
20,0.0155363850899616,0.398608137292286,0.0126976144351744
21,0.0179980403200902,0.374862035059954,0.0105410427429032
22,0.0184699864190536,0.39025577365528,0.0138872131458892
23,0.0181897351931524,0.399197380835624,0.0107911961920185
24,0.0168880587432571,0.397671807799589,0.0117923448719211
25,0.0229162651476008,0.432584480388031,0.0174215729813571
26,0.0176489292052517,0.370092591903426,0.0158100721768875
27,0.0187840889534009,0.396549821079891,0.0155698747371181
28,0.0130041641377189,0.393334182351448,0.0164499984356056
29,0.00942856617774983,0.442463261182914,0.0134930954130505
30,0.0204092355447928,0.397119074722874,0.0134734415149697
31,0.0188232866106945,0.3838608241922,0.0123194791774687
32,0.0200976476524781,0.37300530021731,0.0109073878085966
33,0.0125972366529118,0.444887487809738,0.0143730995477347
34,0.0264052782972508,0.443001520549382,0.0127176166812487
35,0.0192188306094444,0.395524955869259,0.0137327978517895
36,0.020252273336749,0.278696582175785,0.0178455773745166
37,0.0180207573213875,0.272776942447323,0.022316294499803
38,0.0205570314209661,0.282932643190001,0.0169858720920376
39,0.018900461255853,0.30254125549497,0.0173911090539929
40,0.0179896523099317,0.284858633479723,0.0198290106840437
41,0.018274932219088,0.300857262999224,0.0187567991992029
42,0.0205400236509178,0.390553032919,0.0177627663978933
43,0.0150015085869842,0.412423710623301,0.0141596996017369
44,0.0162548473356924,0.396388825833704,0.0132787415485819
45,0.0253434241354716,0.396514177268794,0.0118952837259723
46,0.0183499322919381,0.37603289636324,0.0166674878744219
47,0.0196004492458812,0.37772823869994,0.0114127596121343
48,0.0157736134353213,0.390143898829327,0.0159149375291373
49,0.0226966933089218,0.39641417091338,0.0155970457586406
50,0.0223964429399978,0.386502094808522,0.0156799714069271
51,0.0182793702218981,0.395772493106361,0.0131969413900791
52,0.028174897839424,0.39030517453807,0.0130086003278068
53,0.0173715118525718,0.38725290836432,0.0154838160527318
54,0.0239875920628941,0.411401599769981,0.0158992507493807
55,0.011053538128542,0.393363807866643,0.0163589736976105
56,0.015519033024475,0.394151316699312,0.0112910049453431
57,0.0206659336251655,0.399610209019502,0.00910845475939732
58,0.0209845257918391,0.375579523417229,0.0125142454179149
59,0.0184317425951097,0.381483632073232,0.0164212972948576
60,0.0244236496649978,0.399125837529534,0.0123162378262416
61,0.0203663943332941,0.416664082478757,0.0121989842703751
62,0.0150588492485471,0.327296281230198,0.0194358043115204
63,0.0222079681445106,0.374319287301183,0.0160550628751687
64,0.0234709685305817,0.391742043784243,0.0194386680266051
65,0.0213727533753985,0.396037552612353,0.0155656680929538
66,0.0173345964813652,0.392865920089418,0.0135683194783761
67,0.028433420353797,0.443532783224733,0.0130584909320194
68,0.023389856530148,0.445462709898608,0.0114776191736505
69,0.0129830613322481,0.418202624980711,0.00941687500384755
70,0.013238294588184,0.436827402711291,0.0138972389235384
71,0.020001013677349,0.433976982063596,0.0144506189872705
72,0.0201497540896187,0.391331663473118,0.0120308964890333
73,0.0197764176088589,0.396456511404154,0.0147251267108982
74,0.0182994827373818,0.393417275755281,0.0126411534679422
75,0.0167092730990172,0.376345173208691,0.0156336017864654
76,0.0250741204751448,0.3811448138042,0.01640775187333
77,0.0209376081273437,0.39874657342321,0.0148968264507886
78,0.0145219635075319,0.393634154244762,0.0110319634702923
79,0.0260533714950253,0.397880054199265,0.0139955130292846
80,0.0123121207852444,0.374140508899458,0.0147038440252044
81,0.0212288145642671,0.430766521295954,0.0143149119766783
82,0.0286269892704993,0.450097050528489,0.0146022762634454
83,0.0171001295650738,0.433292397801449,0.010341131656068
84,0.0196053455307845,0.371937421657167,0.0174955372202132
85,0.0231271610212866,0.379354865887724,0.0117480807892628
86,0.0273533821177959,0.396864421050393,0.0111117157082487
87,0.028213607648553,0.370919942101894,0.0132391770503846
88,0.0202410092596016,0.380610254786022,0.0129272644141987
89,0.0130439954066151,0.410699414396707,0.00934383403288739
90,0.0176499054525713,0.393151156826631,0.0131070257334489
91,0.0236417276438143,0.374103847303157,0.0135417597509087
92,0.0150750815060371,0.438708448046711,0.0157469894430613
93,0.0197498535335441,0.388714657937762,0.0164118257970461
94,0.0191310197228682,0.442455295356235,0.0129814871727199
95,0.0197007968724077,0.449750690316127,0.0121466605452686
96,0.0213151889113762,0.447265881876136,0.0143463227157011
97,0.0112465067158843,0.405177584424391,0.013500532522888
98,0.0172422048887506,0.440652843375987,0.00744459330328047
99,0.0237808327625152,0.398389857022766,0.0179658451619763
100,0.0227790559003679,0.398895026074964,0.0171155478237139
101,0.0159505086051536,0.379735212878201,0.0201350552146381
102,0.0210465354450713,0.399018156621371,0.0151441841224342
103,0.0150332031030107,0.396358937767183,0.017849238141182
104,0.019644627342239,0.398678953641815,0.0179487040120529
105,0.0171735933923368,0.398107746020693,0.0106272560207239
106,0.0134876733831447,0.403472237726419,0.0131800074054047
107,0.0212891780718694,0.43990738399801,0.0115544942098588
108,0.0197738707010591,0.442999286319231,0.00969759920451976
109,0.0205201191589754,0.433874902667196,0.0107137277999003
110,0.0196117820584941,0.438065166643758,0.0141221076891878
111,0.0159825127240248,0.440704469724558,0.0135359703098104
112,0.0204210630264769,0.436135465616532,0.00995534662110702
113,0.0147068233946149,0.441489074503033,0.0128519333120786
114,0.0166308438808516,0.369087104555112,0.018413416852678
115,0.01294165423407,0.372060229308781,0.0148403879557669
116,0.0144621929743436,0.394902056755177,0.012339441364098
117,0.0209197552922721,0.372441268849191,0.0144753848722536
118,0.0197696939702986,0.430814912999078,0.0141427344141565
119,0.0127664147289626,0.388946010860139,0.0125598334335765
120,0.00332034666574286,0.390745370740251,0.0165802081511872
121,0.0225269621298245,0.393753745833822,0.0117934770525711
122,0.01644887921913,0.393776342414679,0.0124866594395006
123,0.0169097656899511,0.419144591138614,0.0127190678854043
124,0.0185820664973832,0.381625368274888,0.0177394615728405
125,0.0159821531500674,0.375166617556042,0.0165934101332867
126,0.0267242219265833,0.348887834549559,0.0207653624597667
127,0.0212076656622148,0.391937804494075,0.0133623361367204
128,0.0182442425533473,0.386595757735092,0.0169651073266952
129,0.0216982914692301,0.390810520323489,0.0105423963230047
130,0.0247785919430574,0.398710379777214,0.0125964795498231
131,0.0208279309726454,0.378429867060827,0.0106957787351175
132,0.0192965949592524,0.405801734832259,0.0170372337636476
133,0.018881790822839,0.401993980599385,0.00994045527604933
134,0.0208120304934811,0.390109241946674,0.0126265555233658
135,0.0157767872003519,0.376364314143666,0.0177508009568486
136,0.0214292912357528,0.288070118272851,0.0163124785082105
137,0.0101024627457006,0.215181142319365,0.0204203436756051
138,0.0202378961565318,0.223058712482713,0.0199421878644467
139,0.015520902751056,0.278309617636534,0.0217058308067221
140,0.013885912632646,0.287032332683701,0.0160037340957499
141,0.0255801103670798,0.262150313822568,0.0186604849018113
142,0.0130048110440525,0.387598370064007,0.0156269932922457
143,0.0205362674892229,0.377586635080158,0.0124794033673475
144,0.0149529376840112,0.382909173212745,0.015668149305835
145,0.0177570034790141,0.355561489755669,0.0159609265552288
146,0.0250764872604017,0.359936874424409,0.0144633971968054
147,0.0233852472428664,0.336853828493445,0.013893044933401
148,0.0213768315501131,0.375499438332193,0.0131339193009548
149,0.0165312597963955,0.375416292049689,0.0181378410763375
150,0.0170976919240095,0.388688072271527,0.0155154949604241
151,0.0269668917019504,0.389658913642075,0.012757073262235
152,0.0187692592558417,0.378093578055035,0.0164231358935424
153,0.0203749953014636,0.449845404543797,0.00957516467783645
154,0.0190019985132941,0.376682391167819,0.00968332954647324
