experiment,label,parameter,mean_bias,mean_abs_error,rmse,mean_coverage_95,spearman_r
00_baseline,Baseline,beta0,0.0008024864487352143,0.02226720385641301,0.02992296174907273,0.9338271604938272,0.9986337279730633
01_ablate_core_observation_features,No core observation features,beta0,-0.000594825000172685,0.02714347210094544,0.036096095562818425,0.9353086419753086,0.9977015287820745
03_ablate_dissimilarity_features,No dissimilarity features,beta0,-0.0012180285752698115,0.02104733341975252,0.02834996883827128,0.9491358024691358,0.9987413668558132
05_ablate_global_graph_features,No global graph features,beta0,-0.002388031030042143,0.020542943175769997,0.027576574782701167,0.9367901234567901,0.9987830414901021
02_ablate_graph_topology_features,No graph topology features,beta0,-0.0016706859218502809,0.021975134230667243,0.029513942720114525,0.9333333333333333,0.998684178822047
04_ablate_local_spatial_features,No local spatial features,beta0,7.724745015209156e-05,0.02177296400542948,0.029573789452371425,0.931604938271605,0.9985924002144995
06_core_observation_only,Only core observation features,beta0,-0.00016437535103048303,0.01712843470658423,0.0227139381949317,0.9711111111111111,0.9989810282589888
00_baseline,Baseline,eta,0.012838153336570816,0.14033308637883216,0.1748919769495111,0.9476543209876543,0.5691543940762231
01_ablate_core_observation_features,No core observation features,eta,0.01449093187817108,0.14201191737848323,0.17721574729644748,0.9469135802469136,0.5533541327384863
03_ablate_dissimilarity_features,No dissimilarity features,eta,0.014425719735114893,0.14177741029532626,0.17685589810592903,0.9479012345679012,0.5569660443317317
05_ablate_global_graph_features,No global graph features,eta,0.01220388236205542,0.14295789518074511,0.177304456666368,0.9488888888888889,0.5517194651141155
02_ablate_graph_topology_features,No graph topology features,eta,0.014283195474317275,0.14108424036743486,0.17631604655330754,0.945679012345679,0.5620595482550628
04_ablate_local_spatial_features,No local spatial features,eta,0.013627893813098148,0.14174256520383174,0.17658251472883923,0.9476543209876543,0.5575929898611084
06_core_observation_only,Only core observation features,eta,0.015534135934431106,0.179751783116048,0.20995310555314,0.9491358024691358,0.1716605856939961
00_baseline,Baseline,eta_raw,0.018009157301161014,0.1920866781168396,0.23796992055087263,0.9476543209876543,0.5468720624281993
01_ablate_core_observation_features,No core observation features,eta_raw,0.020129178709883736,0.19424003587724542,0.24079808658095606,0.9469135802469136,0.5319482116521976
03_ablate_dissimilarity_features,No dissimilarity features,eta_raw,0.020294337499718595,0.19400472259343698,0.24051050496099888,0.9479012345679012,0.533681082355474
05_ablate_global_graph_features,No global graph features,eta_raw,0.017277493794085056,0.19575804804658006,0.24126031615443644,0.9488888888888889,0.529874087456407
02_ablate_graph_topology_features,No graph topology features,eta_raw,0.020016871294183485,0.19299583643754617,0.23947447933310126,0.945679012345679,0.5391356604118513
04_ablate_local_spatial_features,No local spatial features,eta_raw,0.019138172229192865,0.19400305756527994,0.24020052476381593,0.9476543209876543,0.5352537743046214
06_core_observation_only,Only core observation features,eta_raw,0.021699697468077685,0.24626644204875864,0.28570954306147317,0.9491358024691358,-0.007582189089032694
00_baseline,Baseline,rho,0.00031063611404668473,0.13871454654656348,0.17771008852298806,0.942716049382716,0.789485637695026
01_ablate_core_observation_features,No core observation features,rho,-0.0018613529333702495,0.14476535969038343,0.1854327758711861,0.9414814814814815,0.7677776669561622
03_ablate_dissimilarity_features,No dissimilarity features,rho,-0.0004925428486873258,0.14038683587390235,0.1793505128839772,0.942962962962963,0.7852948974098758
05_ablate_global_graph_features,No global graph features,rho,-0.0016363245653122215,0.1369407953809836,0.17580561183093307,0.9387654320987654,0.7936430745634663
02_ablate_graph_topology_features,No graph topology features,rho,-0.0026606122744276856,0.1397975930259211,0.1795536391081199,0.9392592592592592,0.7841105936802051
04_ablate_local_spatial_features,No local spatial features,rho,-0.002567032422416953,0.13950479198803042,0.17861950948136743,0.9422222222222222,0.7873414965739578
06_core_observation_only,Only core observation features,rho,-0.004412157199317503,0.2198770627099266,0.2572664825217878,0.9481481481481482,0.4642800747059733
00_baseline,Baseline,sigma2_w,-0.005279204268680374,0.13232850287157402,0.1898084670137389,0.9382716049382716,0.7939972665366642
01_ablate_core_observation_features,No core observation features,sigma2_w,-0.0073254283397842235,0.13272618331660785,0.189976004172589,0.9375308641975308,0.79225529674427
03_ablate_dissimilarity_features,No dissimilarity features,sigma2_w,-0.0055895158353967325,0.1318158903736571,0.18937173752002107,0.9424691358024692,0.7955948811257852
05_ablate_global_graph_features,No global graph features,sigma2_w,-0.004161996323091444,0.13208364417479318,0.18951159987388466,0.9387654320987654,0.7963551585555257
02_ablate_graph_topology_features,No graph topology features,sigma2_w,-0.005663296386213645,0.1326656569825826,0.19042048096275432,0.9333333333333333,0.7934076828442083
04_ablate_local_spatial_features,No local spatial features,sigma2_w,-0.00818727714824131,0.1318179531059879,0.19005923146920287,0.9395061728395062,0.7935938906397668
06_core_observation_only,Only core observation features,sigma2_w,-0.006172720771494902,0.1408475933362116,0.19840491705451063,0.9518518518518518,0.768761981070972
