experiment,label,parameter,mean_bias,mean_abs_error,rmse,mean_coverage_95,spearman_r,baseline_mean_abs_error,baseline_rmse,baseline_mean_coverage_95,baseline_spearman_r,delta_mean_abs_error_vs_baseline,delta_rmse_vs_baseline,delta_coverage_vs_baseline,delta_spearman_vs_baseline
00_baseline,Baseline,beta0,0.0008024864487352143,0.02226720385641301,0.02992296174907273,0.9338271604938272,0.9986337279730633,0.02226720385641301,0.02992296174907273,0.9338271604938272,0.9986337279730633,0.0,0.0,0.0,0.0
00_baseline,Baseline,sigma2_w,-0.005279204268680374,0.13232850287157402,0.1898084670137389,0.9382716049382716,0.7939972665366642,0.13232850287157402,0.1898084670137389,0.9382716049382716,0.7939972665366642,0.0,0.0,0.0,0.0
00_baseline,Baseline,eta,0.012838153336570816,0.14033308637883216,0.1748919769495111,0.9476543209876543,0.5691543940762231,0.14033308637883216,0.1748919769495111,0.9476543209876543,0.5691543940762231,0.0,0.0,0.0,0.0
00_baseline,Baseline,rho,0.00031063611404668473,0.13871454654656348,0.17771008852298806,0.942716049382716,0.789485637695026,0.13871454654656348,0.17771008852298806,0.942716049382716,0.789485637695026,0.0,0.0,0.0,0.0
01_ablate_core_observation_features,No core observation features,beta0,-0.000594825000172685,0.02714347210094544,0.036096095562818425,0.9353086419753086,0.9977015287820745,0.02226720385641301,0.02992296174907273,0.9338271604938272,0.9986337279730633,0.004876268244532432,0.006173133813745697,0.001481481481481417,-0.0009321991909887473
01_ablate_core_observation_features,No core observation features,sigma2_w,-0.0073254283397842235,0.13272618331660785,0.189976004172589,0.9375308641975308,0.79225529674427,0.13232850287157402,0.1898084670137389,0.9382716049382716,0.7939972665366642,0.0003976804450338267,0.00016753715885009512,-0.0007407407407407085,-0.0017419697923942712
01_ablate_core_observation_features,No core observation features,eta,0.01449093187817108,0.14201191737848323,0.17721574729644748,0.9469135802469136,0.5533541327384863,0.14033308637883216,0.1748919769495111,0.9476543209876543,0.5691543940762231,0.0016788309996510764,0.0023237703469363713,-0.0007407407407407085,-0.01580026133773682
01_ablate_core_observation_features,No core observation features,rho,-0.0018613529333702495,0.14476535969038343,0.1854327758711861,0.9414814814814815,0.7677776669561622,0.13871454654656348,0.17771008852298806,0.942716049382716,0.789485637695026,0.006050813143819944,0.007722687348198032,-0.0012345679012345512,-0.02170797073886377
03_ablate_dissimilarity_features,No dissimilarity features,beta0,-0.0012180285752698115,0.02104733341975252,0.02834996883827128,0.9491358024691358,0.9987413668558132,0.02226720385641301,0.02992296174907273,0.9338271604938272,0.9986337279730633,-0.0012198704366604904,-0.0015729929108014504,0.015308641975308568,0.0001076388827498942
03_ablate_dissimilarity_features,No dissimilarity features,sigma2_w,-0.0055895158353967325,0.1318158903736571,0.18937173752002107,0.9424691358024692,0.7955948811257852,0.13232850287157402,0.1898084670137389,0.9382716049382716,0.7939972665366642,-0.0005126124979169255,-0.0004367294937178412,0.004197530864197607,0.0015976145891209992
03_ablate_dissimilarity_features,No dissimilarity features,eta,0.014425719735114893,0.14177741029532626,0.17685589810592903,0.9479012345679012,0.5569660443317317,0.14033308637883216,0.1748919769495111,0.9476543209876543,0.5691543940762231,0.0014443239164941002,0.0019639211564179138,0.0002469135802468658,-0.012188349744491456
03_ablate_dissimilarity_features,No dissimilarity features,rho,-0.0004925428486873258,0.14038683587390235,0.1793505128839772,0.942962962962963,0.7852948974098758,0.13871454654656348,0.17771008852298806,0.942716049382716,0.789485637695026,0.0016722893273388717,0.001640424360989129,0.00024691358024697685,-0.004190740285150207
05_ablate_global_graph_features,No global graph features,beta0,-0.002388031030042143,0.020542943175769997,0.027576574782701167,0.9367901234567901,0.9987830414901021,0.02226720385641301,0.02992296174907273,0.9338271604938272,0.9986337279730633,-0.0017242606806430125,-0.0023463869663715615,0.002962962962962945,0.00014931351703884044
05_ablate_global_graph_features,No global graph features,sigma2_w,-0.004161996323091444,0.13208364417479318,0.18951159987388466,0.9387654320987654,0.7963551585555257,0.13232850287157402,0.1898084670137389,0.9382716049382716,0.7939972665366642,-0.00024485869678084193,-0.0002968671398542455,0.0004938271604938427,0.002357892018861496
05_ablate_global_graph_features,No global graph features,eta,0.01220388236205542,0.14295789518074511,0.177304456666368,0.9488888888888889,0.5517194651141155,0.14033308637883216,0.1748919769495111,0.9476543209876543,0.5691543940762231,0.002624808801912959,0.0024124797168568746,0.0012345679012345512,-0.017434928962107632
