dataset,N,edge_count,true_eta,true_rho,true_boundary_count,estimated_boundary_count_mean,estimated_boundary_count_sd,boundary_count_covered_95,boundary_count_ppp,auroc,average_precision,brier,fdr_sensitivity,fdr_specificity,mpm_sensitivity,mpm_specificity
0,138,397,0.3056,0.9808,37,51.4190,51.2519,1,0.4992,0.9974,0.9461,0.0363,0.0000,1.0000,0.9730,0.9944
1,204,593,0.0606,0.7890,0,57.1970,71.9544,1,0.3397,,,0.0339,,1.0000,,0.9612
2,127,362,0.7102,0.8281,165,157.1698,19.3106,1,0.5680,0.9893,0.9740,0.0285,0.9212,0.9746,0.9515,0.9746
3,205,598,0.6721,0.8599,273,240.7074,34.9064,1,0.8332,0.9851,0.9758,0.0598,0.8205,0.9662,0.8498,0.9631
4,97,276,0.0617,0.0594,0,45.3697,47.3159,1,0.2897,,,0.0702,,1.0000,,0.9022
5,223,650,0.1451,0.5733,1,6.5764,22.5691,1,0.6828,1.0000,1.0000,0.0015,0.0000,1.0000,0.0000,1.0000
6,205,598,0.0223,0.8939,0,8.8475,21.6867,1,0.5668,,,0.0024,,1.0000,,1.0000
7,268,787,0.0609,0.5438,0,0.9852,4.8028,1,0.9030,,,0.0001,,1.0000,,1.0000
8,94,266,0.2451,0.8577,1,22.7951,32.4638,1,0.4574,1.0000,1.0000,0.0253,0.0000,1.0000,1.0000,0.9849
9,132,380,0.4547,0.7167,114,88.4718,41.2754,1,0.7184,0.9984,0.9961,0.0482,0.3684,1.0000,0.7281,1.0000
10,55,151,0.1328,0.5048,0,21.4938,23.8044,1,0.2884,,,0.0572,,1.0000,,0.9338
11,161,466,0.4442,0.9759,97,71.5680,71.3567,1,0.6595,0.9970,0.9837,0.0623,0.0000,1.0000,0.4845,0.9973
12,79,223,0.2396,0.7592,7,22.4856,30.0150,1,0.5221,0.9993,0.9821,0.0300,0.0000,1.0000,0.8571,1.0000
13,94,269,0.0139,0.2653,0,22.3467,28.4360,1,0.3049,,,0.0297,,1.0000,,0.9665
14,56,156,0.7095,0.1360,54,41.6169,21.9629,1,0.7135,0.9936,0.9858,0.0559,0.0000,1.0000,0.8148,0.9804
15,208,607,0.3550,0.0958,100,131.0800,108.9386,1,0.4393,0.9975,0.9793,0.0642,0.0000,1.0000,1.0000,0.9310
16,166,485,0.4904,0.8273,143,141.2471,42.4568,1,0.5147,0.9946,0.9757,0.0241,0.7413,0.9912,0.9790,0.9912
17,167,479,0.5269,0.8364,152,191.7826,41.5173,1,0.1658,0.9940,0.9794,0.0625,1.0000,0.9572,1.0000,0.8471
18,102,289,0.6593,0.0116,128,75.1170,52.0436,1,0.7740,0.9860,0.9758,0.1072,0.0000,1.0000,0.6562,0.9876
19,99,281,0.5103,0.8012,89,80.6230,35.4408,1,0.5722,0.9980,0.9947,0.0347,0.1910,1.0000,0.9101,0.9948
20,248,726,0.6088,0.3530,290,104.9449,103.3770,1,0.9323,0.9942,0.9883,0.1867,0.0000,1.0000,0.2690,1.0000
21,274,804,0.2921,0.3062,64,94.1815,97.7659,1,0.4959,0.9998,0.9971,0.0332,0.0000,1.0000,1.0000,0.9986
22,124,355,0.2938,0.5234,25,17.0872,25.9853,1,0.7344,0.9981,0.9630,0.0294,0.0000,1.0000,0.1600,1.0000
23,66,186,0.6749,0.5387,85,66.2301,19.9903,1,0.8358,0.9786,0.9618,0.0809,0.4824,0.9802,0.7647,0.9604
24,195,571,0.1373,0.2931,0,68.3217,66.1793,1,0.2139,,,0.0564,,1.0000,,0.9054
25,152,440,0.3853,0.8504,72,81.9137,70.9582,1,0.5186,0.9992,0.9956,0.0488,0.0000,1.0000,0.9306,0.9946
26,115,333,0.0276,0.9580,0,34.1960,43.0648,1,0.3412,,,0.0362,,1.0000,,0.9610
27,239,701,0.2673,0.5122,42,74.2660,83.2132,1,0.4965,1.0000,1.0000,0.0307,0.0000,1.0000,1.0000,0.9970
28,224,655,0.1862,0.7073,4,3.2596,8.2590,1,0.8390,1.0000,1.0000,0.0034,0.0000,1.0000,0.0000,1.0000
29,147,427,0.6391,0.0226,193,90.1194,77.9651,1,0.8657,0.9932,0.9904,0.1501,0.0000,1.0000,0.4456,1.0000
30,83,234,0.0119,0.1217,0,36.5823,41.3073,1,0.4049,,,0.0612,,1.0000,,0.9402
31,139,401,0.4439,0.7017,123,76.4055,61.7329,1,0.7363,0.9977,0.9935,0.0769,0.0000,1.0000,0.5935,0.9964
32,110,313,0.1530,0.1140,0,41.4836,48.7109,1,0.3570,,,0.0498,,1.0000,,0.9457
33,93,262,0.5013,0.0189,105,75.8926,46.2680,1,0.6131,0.9962,0.9915,0.0604,0.0000,1.0000,0.8667,0.9936
34,168,485,0.1341,0.4110,0,43.2152,50.8500,1,0.3079,,,0.0347,,1.0000,,0.9505
35,71,195,0.2250,0.6321,3,8.0615,16.5183,1,0.6870,1.0000,1.0000,0.0114,0.0000,1.0000,0.0000,1.0000
36,97,275,0.4230,0.8448,50,28.7291,29.8571,1,0.8065,0.9964,0.9700,0.0620,0.0000,1.0000,0.4200,0.9956
37,240,701,0.4336,0.7440,140,60.5349,64.8397,1,0.8722,0.9976,0.9880,0.0826,0.0000,1.0000,0.3000,1.0000
38,98,276,0.4911,0.4086,96,55.0097,38.2309,1,0.8155,0.9930,0.9820,0.0990,0.0000,1.0000,0.5312,0.9944
39,44,119,0.2632,0.2717,8,24.9987,20.4504,1,0.3486,1.0000,1.0000,0.0848,0.0000,1.0000,1.0000,0.8198
40,184,536,0.5459,0.3698,225,179.9959,80.3393,1,0.6046,0.9941,0.9890,0.0433,0.0044,1.0000,0.9067,0.9839
41,223,653,0.6751,0.1988,302,209.5944,99.8411,1,0.7968,0.9905,0.9835,0.0767,0.0000,1.0000,0.7848,0.9858
42,213,624,0.0637,0.2080,0,21.0865,42.7582,1,0.5666,,,0.0065,,1.0000,,1.0000
43,137,397,0.0461,0.5805,0,65.5373,54.0478,1,0.1502,,,0.0881,,1.0000,,0.8489
44,198,571,0.4034,0.1210,127,103.7079,99.8123,1,0.6054,0.9985,0.9929,0.0642,0.0000,1.0000,0.6457,0.9977
45,167,488,0.2461,0.3282,10,8.8240,21.7685,1,0.8149,1.0000,1.0000,0.0107,0.0000,1.0000,0.0000,1.0000
46,114,331,0.4000,0.9472,53,81.9369,55.4113,1,0.3535,1.0000,1.0000,0.0667,0.0000,1.0000,1.0000,0.8813
47,161,470,0.7358,0.7401,228,190.0544,36.6927,1,0.9124,0.9944,0.9930,0.0570,0.7588,0.9835,0.8465,0.9835
48,136,393,0.6621,0.7125,176,144.8161,56.6256,1,0.6084,0.9843,0.9723,0.0486,0.0057,1.0000,0.8977,0.9677
49,215,626,0.4138,0.4943,121,89.4179,63.5034,1,0.7127,0.9992,0.9964,0.0359,0.0000,1.0000,0.7190,0.9980
50,247,723,0.5872,0.4909,289,244.2428,75.3682,1,0.7035,0.9922,0.9824,0.0451,0.5675,0.9931,0.8581,0.9816
51,76,214,0.7958,0.9155,103,83.4451,20.7400,1,0.9662,0.9780,0.9570,0.0748,0.6117,0.9730,0.8350,0.9640
52,127,368,0.3482,0.6537,52,49.6787,55.2673,1,0.6363,0.9974,0.9687,0.0492,0.0000,1.0000,0.5577,0.9968
53,104,296,0.2617,0.2123,9,47.6386,51.0193,1,0.4246,1.0000,1.0000,0.0592,0.0000,1.0000,1.0000,0.9373
54,163,474,0.5458,0.1011,166,63.8468,75.4286,1,0.8355,0.9891,0.9703,0.1608,0.0000,1.0000,0.1807,1.0000
55,137,395,0.2876,0.6566,49,20.8874,35.5804,1,0.8386,0.9979,0.9796,0.0666,0.0000,1.0000,0.0204,1.0000
56,48,130,0.7707,0.9272,58,26.1050,23.7125,1,0.8802,0.9943,0.9911,0.1549,0.0000,1.0000,0.4310,1.0000
57,40,104,0.3572,0.7494,22,20.7381,18.8813,1,0.5324,1.0000,1.0000,0.0653,0.0000,1.0000,0.9545,1.0000
58,173,500,0.6417,0.3764,237,191.2061,52.9354,1,0.8711,0.9869,0.9826,0.0692,0.5527,0.9886,0.8397,0.9658
