dataset,N,edge_count,true_eta,true_rho,graph_size_bin,parameter,posterior_z
0,138,397,0.3056,0.9808,"(95.75, 155.0]",beta_0,-0.3608
1,204,593,0.0606,0.7890,"(155.0, 217.5]",beta_0,-0.2420
2,127,362,0.7102,0.8281,"(95.75, 155.0]",beta_0,-0.0549
3,205,598,0.6721,0.8599,"(155.0, 217.5]",beta_0,-0.7237
4,97,276,0.0617,0.0594,"(95.75, 155.0]",beta_0,0.2002
5,223,650,0.1451,0.5733,"(217.5, 299.0]",beta_0,-0.1542
6,205,598,0.0223,0.8939,"(155.0, 217.5]",beta_0,1.5516
7,268,787,0.0609,0.5438,"(217.5, 299.0]",beta_0,-0.1632
8,94,266,0.2451,0.8577,"(39.9999, 95.75]",beta_0,0.4388
9,132,380,0.4547,0.7167,"(95.75, 155.0]",beta_0,-0.1584
10,55,151,0.1328,0.5048,"(39.9999, 95.75]",beta_0,0.3269
11,161,466,0.4442,0.9759,"(155.0, 217.5]",beta_0,-0.2995
12,79,223,0.2396,0.7592,"(39.9999, 95.75]",beta_0,-0.4431
13,94,269,0.0139,0.2653,"(39.9999, 95.75]",beta_0,0.0404
14,56,156,0.7095,0.1360,"(39.9999, 95.75]",beta_0,-0.8827
15,208,607,0.3550,0.0958,"(155.0, 217.5]",beta_0,-0.3196
16,166,485,0.4904,0.8273,"(155.0, 217.5]",beta_0,0.6579
17,167,479,0.5269,0.8364,"(155.0, 217.5]",beta_0,0.3658
18,102,289,0.6593,0.0116,"(95.75, 155.0]",beta_0,-0.0413
19,99,281,0.5103,0.8012,"(95.75, 155.0]",beta_0,-0.2584
20,248,726,0.6088,0.3530,"(217.5, 299.0]",beta_0,-0.0256
21,274,804,0.2921,0.3062,"(217.5, 299.0]",beta_0,-0.5065
22,124,355,0.2938,0.5234,"(95.75, 155.0]",beta_0,-0.4700
23,66,186,0.6749,0.5387,"(39.9999, 95.75]",beta_0,-0.0455
24,195,571,0.1373,0.2931,"(155.0, 217.5]",beta_0,-0.9816
25,152,440,0.3853,0.8504,"(95.75, 155.0]",beta_0,0.3788
26,115,333,0.0276,0.9580,"(95.75, 155.0]",beta_0,0.3134
27,239,701,0.2673,0.5122,"(217.5, 299.0]",beta_0,-0.2795
28,224,655,0.1862,0.7073,"(217.5, 299.0]",beta_0,-0.2179
29,147,427,0.6391,0.0226,"(95.75, 155.0]",beta_0,0.3222
30,83,234,0.0119,0.1217,"(39.9999, 95.75]",beta_0,-0.5772
31,139,401,0.4439,0.7017,"(95.75, 155.0]",beta_0,0.2004
32,110,313,0.1530,0.1140,"(95.75, 155.0]",beta_0,0.7382
33,93,262,0.5013,0.0189,"(39.9999, 95.75]",beta_0,-0.6558
34,168,485,0.1341,0.4110,"(155.0, 217.5]",beta_0,-0.3946
35,71,195,0.2250,0.6321,"(39.9999, 95.75]",beta_0,-0.3785
36,97,275,0.4230,0.8448,"(95.75, 155.0]",beta_0,-0.1577
37,240,701,0.4336,0.7440,"(217.5, 299.0]",beta_0,-0.8833
38,98,276,0.4911,0.4086,"(95.75, 155.0]",beta_0,-0.3072
39,44,119,0.2632,0.2717,"(39.9999, 95.75]",beta_0,-0.0138
40,184,536,0.5459,0.3698,"(155.0, 217.5]",beta_0,-0.1473
41,223,653,0.6751,0.1988,"(217.5, 299.0]",beta_0,0.4857
42,213,624,0.0637,0.2080,"(155.0, 217.5]",beta_0,-0.8456
43,137,397,0.0461,0.5805,"(95.75, 155.0]",beta_0,-0.6984
44,198,571,0.4034,0.1210,"(155.0, 217.5]",beta_0,0.1240
45,167,488,0.2461,0.3282,"(155.0, 217.5]",beta_0,1.6765
46,114,331,0.4000,0.9472,"(95.75, 155.0]",beta_0,0.7877
47,161,470,0.7358,0.7401,"(155.0, 217.5]",beta_0,-0.0279
48,136,393,0.6621,0.7125,"(95.75, 155.0]",beta_0,-0.6390
49,215,626,0.4138,0.4943,"(155.0, 217.5]",beta_0,0.5553
50,247,723,0.5872,0.4909,"(217.5, 299.0]",beta_0,0.5802
51,76,214,0.7958,0.9155,"(39.9999, 95.75]",beta_0,0.6141
52,127,368,0.3482,0.6537,"(95.75, 155.0]",beta_0,-0.3062
53,104,296,0.2617,0.2123,"(95.75, 155.0]",beta_0,-0.3760
54,163,474,0.5458,0.1011,"(155.0, 217.5]",beta_0,0.3669
55,137,395,0.2876,0.6566,"(95.75, 155.0]",beta_0,0.5312
56,48,130,0.7707,0.9272,"(39.9999, 95.75]",beta_0,-0.2376
57,40,104,0.3572,0.7494,"(39.9999, 95.75]",beta_0,0.0834
58,173,500,0.6417,0.3764,"(155.0, 217.5]",beta_0,-0.4831
59,109,314,0.3763,0.7287,"(95.75, 155.0]",beta_0,0.0409
60,274,805,0.5905,0.2661,"(217.5, 299.0]",beta_0,1.6717
61,288,848,0.2618,0.5276,"(217.5, 299.0]",beta_0,0.6293
62,125,361,0.2566,0.3498,"(95.75, 155.0]",beta_0,-0.9045
63,89,251,0.5745,0.8620,"(39.9999, 95.75]",beta_0,-0.2645
64,176,509,0.5792,0.6555,"(155.0, 217.5]",beta_0,-0.6708
65,291,853,0.1698,0.3024,"(217.5, 299.0]",beta_0,0.5960
66,141,406,0.3022,0.3023,"(95.75, 155.0]",beta_0,0.9141
67,208,606,0.1176,0.4836,"(155.0, 217.5]",beta_0,-0.1410
68,221,650,0.7415,0.9678,"(217.5, 299.0]",beta_0,1.4128
69,154,443,0.0959,0.2455,"(95.75, 155.0]",beta_0,-0.0826
70,274,805,0.6607,0.0890,"(217.5, 299.0]",beta_0,0.0380
71,211,617,0.3569,0.7607,"(155.0, 217.5]",beta_0,-0.0838
72,285,839,0.4363,0.5266,"(217.5, 299.0]",beta_0,-1.0868
73,108,309,0.6708,0.0498,"(95.75, 155.0]",beta_0,0.6917
74,117,334,0.3374,0.9514,"(95.75, 155.0]",beta_0,0.4247
75,280,824,0.0161,0.0869,"(217.5, 299.0]",beta_0,-0.2438
76,254,742,0.0106,0.0767,"(217.5, 299.0]",beta_0,0.9102
77,215,624,0.4873,0.3495,"(155.0, 217.5]",beta_0,-0.6972
78,60,167,0.0353,0.0363,"(39.9999, 95.75]",beta_0,-0.1150
79,150,438,0.2857,0.2673,"(95.75, 155.0]",beta_0,1.1496
80,59,163,0.3158,0.1914,"(39.9999, 95.75]",beta_0,-0.8727
81,299,876,0.6139,0.4092,"(217.5, 299.0]",beta_0,-0.5973
82,137,395,0.1484,0.5933,"(95.75, 155.0]",beta_0,0.0738
83,214,626,0.2300,0.6132,"(155.0, 217.5]",beta_0,0.2926
84,115,326,0.0467,0.4849,"(95.75, 155.0]",beta_0,0.2034
85,66,184,0.5291,0.1741,"(39.9999, 95.75]",beta_0,0.4283
86,151,434,0.4412,0.2839,"(95.75, 155.0]",beta_0,0.0123
87,220,645,0.1423,0.1920,"(217.5, 299.0]",beta_0,-0.6889
88,92,261,0.5383,0.2052,"(39.9999, 95.75]",beta_0,-0.8074
