parameter,nominal,empirical_coverage
beta_0,0.5000,0.4850
beta_0,0.5500,0.5800
beta_0,0.6000,0.6400
beta_0,0.6500,0.7050
beta_0,0.7000,0.7750
beta_0,0.7500,0.8250
beta_0,0.8000,0.8550
beta_0,0.8500,0.8950
beta_0,0.9000,0.9350
beta_0,0.9500,0.9800
sigma2_w,0.5000,0.5150
sigma2_w,0.5500,0.5750
sigma2_w,0.6000,0.6150
sigma2_w,0.6500,0.6600
sigma2_w,0.7000,0.6850
sigma2_w,0.7500,0.7350
sigma2_w,0.8000,0.7900
sigma2_w,0.8500,0.8500
sigma2_w,0.9000,0.8950
sigma2_w,0.9500,0.9400
eta,0.5000,0.5600
eta,0.5500,0.6300
eta,0.6000,0.6500
eta,0.6500,0.6900
eta,0.7000,0.7350
eta,0.7500,0.7750
eta,0.8000,0.8150
eta,0.8500,0.8600
eta,0.9000,0.9000
eta,0.9500,0.9600
rho,0.5000,0.4900
rho,0.5500,0.5150
rho,0.6000,0.5550
rho,0.6500,0.6150
rho,0.7000,0.6900
rho,0.7500,0.7300
rho,0.8000,0.7900
rho,0.8500,0.8650
rho,0.9000,0.9000
rho,0.9500,0.9450
