dataset,N,edge_count,true_eta,true_rho,beta_0_error,beta_0_abs_error,beta_0_zscore,sigma2_w_error,sigma2_w_abs_error,sigma2_w_zscore,eta_error,eta_abs_error,eta_zscore,rho_error,rho_abs_error,rho_zscore
0,138,397,0.3056,0.9808,0.0209,0.0209,-0.2565,0.0186,0.0186,-0.0754,-0.0074,0.0074,0.0474,-0.0429,0.0429,0.4688
1,204,593,0.0606,0.7890,0.0233,0.0233,-0.2348,0.1197,0.1197,-0.6099,0.1981,0.1981,-1.1725,0.0600,0.0600,-0.3495
2,127,362,0.7102,0.8281,0.0013,0.0013,-0.0508,-0.1270,0.1270,0.5986,-0.0533,0.0533,0.7215,-0.1458,0.1458,1.1644
3,205,598,0.6721,0.8599,0.0583,0.0583,-0.5875,-0.1482,0.1482,0.6382,-0.1105,0.1105,1.5289,-0.0574,0.0574,0.7385
4,97,276,0.0617,0.0594,-0.0075,0.0075,0.1922,0.1000,0.1000,-0.8731,0.2621,0.2621,-1.2554,-0.0013,0.0013,0.0257
5,223,650,0.1451,0.5733,0.0031,0.0031,-0.1355,0.0013,0.0013,-0.0075,-0.0241,0.0241,0.2918,-0.0409,0.0409,0.3289
6,205,598,0.0223,0.8939,-0.0252,0.0252,1.6391,-0.1955,0.1955,1.0729,0.1124,0.1124,-1.2204,-0.1664,0.1664,1.1111
7,268,787,0.0609,0.5438,0.0101,0.0101,-0.1511,0.3060,0.3060,-1.4382,0.0258,0.0258,-0.4731,0.1449,0.1449,-1.6419
8,94,266,0.2451,0.8577,-0.0105,0.0105,0.3984,-0.2352,0.2352,1.1008,0.0342,0.0342,-0.1947,-0.1963,0.1963,1.0752
9,132,380,0.4547,0.7167,0.0095,0.0095,-0.1921,-0.0666,0.0666,0.3111,-0.0540,0.0540,0.5288,-0.1200,0.1200,1.2690
10,55,151,0.1328,0.5048,-0.0141,0.0141,0.3289,-0.0040,0.0040,0.0288,0.1864,0.1864,-0.8785,-0.1534,0.1534,0.7280
11,161,466,0.4442,0.9759,0.0106,0.0106,-0.3413,-0.2878,0.2878,1.5880,-0.0921,0.0921,0.4531,-0.2346,0.2346,1.0164
12,79,223,0.2396,0.7592,0.0088,0.0088,-0.4132,0.1290,0.1290,-0.5993,0.0165,0.0165,-0.0870,0.1171,0.1171,-0.6554
13,94,269,0.0139,0.2653,-0.0022,0.0022,0.0442,0.0583,0.0583,-0.4566,0.2128,0.2128,-1.4624,0.0936,0.0936,-0.8484
14,56,156,0.7095,0.1360,0.0310,0.0310,-0.7179,0.1446,0.1446,-0.8738,-0.1423,0.1423,0.7448,0.3499,0.3499,-1.6713
15,208,607,0.3550,0.0958,0.0251,0.0251,-0.3463,0.0688,0.0688,-1.2691,0.0176,0.0176,-0.0876,-0.0258,0.0258,0.5585
16,166,485,0.4904,0.8273,-0.0137,0.0137,0.6653,-0.1340,0.1340,0.5983,-0.0064,0.0064,0.0705,-0.0829,0.0829,0.8775
17,167,479,0.5269,0.8364,-0.0071,0.0071,0.2804,0.0149,0.0149,-0.0725,0.0815,0.0815,-0.7911,-0.0694,0.0694,0.4178
18,102,289,0.6593,0.0116,0.0022,0.0022,-0.0617,0.0215,0.0215,-0.3564,-0.2350,0.2350,1.1641,0.0817,0.0817,-0.9976
19,99,281,0.5103,0.8012,0.0079,0.0079,-0.2764,-0.3127,0.3127,1.4494,-0.0302,0.0302,0.2197,-0.1998,0.1998,1.5913
20,248,726,0.6088,0.3530,0.0006,0.0006,-0.0236,0.0131,0.0131,-0.3698,-0.2906,0.2906,1.6938,-0.0703,0.0703,0.6905
21,274,804,0.2921,0.3062,0.0236,0.0236,-0.4034,0.0129,0.0129,-0.2729,0.0021,0.0021,-0.0133,0.0145,0.0145,-0.1450
22,124,355,0.2938,0.5234,0.0157,0.0157,-0.6137,-0.0435,0.0435,0.2503,-0.0885,0.0885,0.6726,-0.0383,0.0383,0.3076
23,66,186,0.6749,0.5387,0.0006,0.0006,-0.0307,0.1156,0.1156,-0.6158,-0.1315,0.1315,1.0763,0.2212,0.2212,-1.0513
24,195,571,0.1373,0.2931,0.0237,0.0237,-1.3397,0.0535,0.0535,-0.8981,0.1675,0.1675,-1.0721,0.0195,0.0195,-0.2257
25,152,440,0.3853,0.8504,-0.0050,0.0050,0.3720,0.1130,0.1130,-0.5449,-0.0252,0.0252,0.1342,0.0221,0.0221,-0.1186
26,115,333,0.0276,0.9580,-0.0040,0.0040,0.2623,-0.0436,0.0436,0.2133,0.2458,0.2458,-1.6156,-0.1001,0.1001,0.6680
27,239,701,0.2673,0.5122,0.0074,0.0074,-0.2825,-0.0325,0.0325,0.7972,0.0062,0.0062,-0.0397,-0.1918,0.1918,1.7422
28,224,655,0.1862,0.7073,0.0114,0.0114,-0.2283,0.2744,0.2744,-1.1712,-0.0686,0.0686,0.9310,0.0955,0.0955,-1.2877
29,147,427,0.6391,0.0226,-0.0076,0.0076,0.2606,-0.0186,0.0186,0.5666,-0.2796,0.2796,1.4059,0.0543,0.0543,-0.9429
30,83,234,0.0119,0.1217,0.0193,0.0193,-0.5969,-0.0409,0.0409,0.3325,0.2675,0.2675,-1.4821,-0.0100,0.0100,0.1331
31,139,401,0.4439,0.7017,-0.0040,0.0040,0.2517,0.0451,0.0451,-0.3314,-0.1123,0.1123,0.6940,-0.1129,0.1129,0.5210
32,110,313,0.1530,0.1140,-0.0215,0.0215,0.6813,0.0268,0.0268,-0.2349,0.1273,0.1273,-0.6905,0.0331,0.0331,-0.4509
33,93,262,0.5013,0.0189,0.0316,0.0316,-0.6577,0.1227,0.1227,-0.9510,-0.0903,0.0903,0.5161,0.2492,0.2492,-1.4153
34,168,485,0.1341,0.4110,0.0088,0.0088,-0.3763,-0.0830,0.0830,0.5754,0.1240,0.1240,-0.8675,0.0076,0.0076,-0.0670
35,71,195,0.2250,0.6321,0.0203,0.0203,-0.3843,0.1249,0.1249,-0.5940,-0.0317,0.0317,0.2098,0.1068,0.1068,-0.5510
36,97,275,0.4230,0.8448,0.0124,0.0124,-0.1909,-0.0877,0.0877,0.4064,-0.1254,0.1254,0.8533,-0.0934,0.0934,0.6737
37,240,701,0.4336,0.7440,0.0199,0.0199,-0.9676,-0.0182,0.0182,0.1054,-0.1653,0.1653,1.1573,-0.0819,0.0819,0.5445
38,98,276,0.4911,0.4086,0.0137,0.0137,-0.4490,0.0745,0.0745,-0.3861,-0.1426,0.1426,0.9991,0.1771,0.1771,-1.0616
39,44,119,0.2632,0.2717,0.0005,0.0005,-0.0086,-0.4506,0.4506,2.9385,0.1557,0.1557,-0.6124,-0.1016,0.1016,0.7742
40,184,536,0.5459,0.3698,0.0039,0.0039,-0.1726,-0.1373,0.1373,1.9658,-0.0838,0.0838,0.5537,-0.2036,0.2036,2.6711
41,223,653,0.6751,0.1988,-0.0075,0.0075,0.4548,0.0089,0.0089,-0.4490,-0.1913,0.1913,1.1391,-0.0108,0.0108,0.1137
42,213,624,0.0637,0.2080,0.0142,0.0142,-0.6383,0.0046,0.0046,-0.1129,0.0939,0.0939,-0.8410,0.0409,0.0409,-0.5289
43,137,397,0.0461,0.5805,0.0121,0.0121,-0.6190,-0.2271,0.2271,2.8068,0.2948,0.2948,-1.8169,-0.2497,0.2497,2.2646
44,198,571,0.4034,0.1210,-0.0043,0.0043,0.1680,-0.0488,0.0488,1.4553,-0.0728,0.0728,0.3684,-0.0354,0.0354,0.5539
45,167,488,0.2461,0.3282,-0.0349,0.0349,1.6524,0.1619,0.1619,-0.8955,-0.0914,0.0914,0.9202,0.2607,0.2607,-2.0145
46,114,331,0.4000,0.9472,-0.0100,0.0100,0.5800,0.0882,0.0882,-0.4467,0.0760,0.0760,-0.3482,-0.1070,0.1070,0.4981
47,161,470,0.7358,0.7401,0.0009,0.0009,-0.0673,0.1060,0.1060,-0.5921,-0.1286,0.1286,1.3389,0.0324,0.0324,-0.1864
48,136,393,0.6621,0.7125,0.0113,0.0113,-0.5333,0.0029,0.0029,-0.0370,-0.1251,0.1251,0.7330,-0.3642,0.3642,1.3807
49,215,626,0.4138,0.4943,-0.0117,0.0117,0.6745,0.0852,0.0852,-0.4774,-0.0768,0.0768,0.5462,0.0378,0.0378,-0.3448
50,247,723,0.5872,0.4909,-0.0089,0.0089,0.4846,0.0627,0.0627,-0.5329,-0.0812,0.0812,0.7032,-0.0062,0.0062,0.0515
51,76,214,0.7958,0.9155,-0.0179,0.0179,0.5538,0.1458,0.1458,-0.6437,-0.1647,0.1647,1.2990,-0.0809,0.0809,0.5182
52,127,368,0.3482,0.6537,0.0080,0.0080,-0.3287,0.0506,0.0506,-0.3456,-0.0582,0.0582,0.3176,-0.0763,0.0763,0.3308
53,104,296,0.2617,0.2123,0.0293,0.0293,-0.3366,-0.0502,0.0502,0.7622,0.0804,0.0804,-0.3674,-0.0545,0.0545,0.6104
54,163,474,0.5458,0.1011,-0.0109,0.0109,0.4267,0.0506,0.0506,-0.4821,-0.2509,0.2509,1.2221,-0.0309,0.0309,0.7189
55,137,395,0.2876,0.6566,-0.0239,0.0239,0.6046,0.0188,0.0188,-0.1153,-0.1189,0.1189,1.0199,-0.0624,0.0624,0.3378
56,48,130,0.7707,0.9272,0.0088,0.0088,-0.2460,0.1134,0.1134,-0.5424,-0.3739,0.3739,1.4599,-0.1337,0.1337,0.5197
57,40,104,0.3572,0.7494,-0.0034,0.0034,0.1099,0.0638,0.0638,-0.3303,-0.0299,0.0299,0.1566,-0.1820,0.1820,0.5916
58,173,500,0.6417,0.3764,0.0109,0.0109,-0.3712,0.0542,0.0542,-0.6170,-0.1218,0.1218,1.1323,-0.0601,0.0601,0.4689
59,109,314,0.3763,0.7287,-0.0010,0.0010,0.0563,0.1182,0.1182,-0.5814,0.0087,0.0087,-0.0554,0.0666,0.0666,-0.3356
60,274,805,0.5905,0.2661,-0.0549,0.0549,1.5813,0.0188,0.0188,-0.3569,-0.1780,0.1780,0.8916,0.0177,0.0177,-0.1099
61,288,848,0.2618,0.5276,-0.0112,0.0112,0.6937,0.0248,0.0248,-0.3091,-0.0299,0.0299,0.2255,-0.1152,0.1152,0.9808
62,125,361,0.2566,0.3498,0.0245,0.0245,-0.8288,0.0168,0.0168,-0.0824,-0.0739,0.0739,0.6329,0.1052,0.1052,-1.0890
63,89,251,0.5745,0.8620,0.0140,0.0140,-0.2330,0.0643,0.0643,-0.3573,-0.0731,0.0731,0.3609,-0.1414,0.1414,0.5571
64,176,509,0.5792,0.6555,0.0389,0.0389,-0.5870,0.0605,0.0605,-0.3585,-0.0748,0.0748,0.6592,0.0215,0.0215,-0.1450
65,291,853,0.1698,0.3024,-0.0139,0.0139,0.7149,0.1249,0.1249,-1.0122,0.0755,0.0755,-0.5992,0.1312,0.1312,-1.2322
66,141,406,0.3022,0.3023,-0.0234,0.0234,0.8166,0.2426,0.2426,-1.3793,-0.0745,0.0745,0.6459,0.1739,0.1739,-1.6402
