dataset,N,edge_count,node_count_coverage_95,observed_moran,moran_ppp,moran_covered_95,edge_absdiff_low_ppp,edge_absdiff_mid_ppp,edge_absdiff_high_ppp
57,40,104,0.9750,0.0024,0.2300,1,0.4100,0.0700,0.0900
56,48,130,0.9167,0.0614,0.6400,1,0.8200,0.7000,0.8700
80,59,163,0.9831,0.0307,0.4600,1,0.8700,0.1400,0.6400
176,63,176,0.9048,-0.0232,0.1700,1,0.2800,0.6300,0.8700
23,66,186,0.9545,0.1405,0.5900,1,0.0600,0.4100,0.4300
190,71,198,0.9718,0.3133,0.5600,1,0.6500,0.7500,0.4700
51,76,214,0.9342,0.0850,0.5900,1,0.5300,0.2400,0.6700
164,80,226,0.9500,0.0495,0.3900,1,0.6800,0.0800,0.2300
154,88,251,0.9545,0.0682,0.4700,1,0.1400,0.3600,0.4600
189,93,265,0.9355,0.0623,0.6200,1,0.6800,0.3100,0.4900
36,97,275,0.9588,0.3973,0.6100,1,0.5400,0.3400,0.7000
179,100,285,0.9300,0.3556,0.7700,1,0.3100,0.4000,0.3900
32,110,313,0.9364,0.1327,0.7000,1,0.6700,0.4700,0.6100
26,115,333,0.9217,0.1301,0.5800,1,0.2500,0.6400,0.6700
92,121,345,0.9669,0.0085,0.5100,1,0.6000,0.2200,0.7000
9,132,380,0.9167,0.4017,0.7500,1,0.3800,0.3300,0.6200
43,137,397,0.9562,0.2673,0.7500,1,0.5800,0.3100,0.4100
148,141,409,0.9504,0.1599,0.3800,1,0.5500,0.8000,0.4500
29,147,427,0.9456,0.0264,0.4500,1,0.6600,0.9000,0.7700
25,152,440,0.9408,0.0251,0.5700,1,0.2200,0.4500,0.7900
181,160,463,0.9188,0.1577,0.4000,1,0.2200,0.6400,0.8200
122,165,478,0.9455,0.2694,0.7000,1,0.2900,0.2100,0.4800
193,167,482,0.9461,0.0265,0.4900,1,0.7500,0.5100,0.1500
133,173,502,0.9422,0.0250,0.4500,1,0.9700,0.3300,0.6800
98,182,529,0.9505,0.0603,0.0300,1,0.5900,0.1600,0.9200
94,195,567,0.9231,0.0559,0.0400,1,1.0000,0.9800,0.8600
44,198,571,0.9394,0.0317,0.5000,1,0.2600,0.4200,0.1200
1,204,593,0.9265,0.1367,0.2800,1,0.2300,0.4800,0.3200
71,211,617,0.9289,-0.0399,0.0600,1,0.9900,0.8900,0.9900
126,215,629,0.9628,0.3057,0.4500,1,0.9200,0.5300,0.3700
5,223,650,0.9462,0.3545,0.4800,1,0.8200,0.5400,0.1100
91,228,667,0.9254,0.2178,0.6800,1,0.4300,0.9200,0.6900
27,239,701,0.9498,0.2063,0.4700,1,0.5600,0.3100,0.3600
135,247,725,0.9393,0.3762,0.4900,1,0.8600,0.1800,0.6200
76,254,742,0.9409,0.0777,0.7200,1,0.4100,0.6900,0.1400
182,268,788,0.9328,0.0579,0.4000,1,0.7600,0.7300,0.6400
119,274,802,0.9307,0.1204,0.7100,1,0.5100,0.6500,0.6700
156,281,823,0.9324,0.5091,0.7200,1,0.4700,0.8900,0.6400
61,288,848,0.9514,0.2832,0.6000,1,0.1400,0.6700,0.6700
81,299,876,0.9298,0.1279,0.2400,1,0.2100,0.2600,0.6000
