parameter,regime_bin,mae,regime_variable
beta_0,"(0.01148, 0.265]",0.0145,true_rho
beta_0,"(0.265, 0.5011]",0.0171,true_rho
beta_0,"(0.5011, 0.7367]",0.0134,true_rho
beta_0,"(0.7367, 0.9808]",0.0118,true_rho
sigma2_w,"(0.01148, 0.265]",0.0649,true_rho
sigma2_w,"(0.265, 0.5011]",0.0814,true_rho
sigma2_w,"(0.5011, 0.7367]",0.0908,true_rho
sigma2_w,"(0.7367, 0.9808]",0.1986,true_rho
eta,"(0.01148, 0.265]",0.1562,true_rho
eta,"(0.265, 0.5011]",0.1149,true_rho
eta,"(0.5011, 0.7367]",0.0858,true_rho
eta,"(0.7367, 0.9808]",0.0996,true_rho
rho,"(0.01148, 0.265]",0.0877,true_rho
rho,"(0.265, 0.5011]",0.1264,true_rho
rho,"(0.5011, 0.7367]",0.1055,true_rho
rho,"(0.7367, 0.9808]",0.1405,true_rho
beta_0,"(0.004813, 0.2287]",0.0148,true_eta
beta_0,"(0.2287, 0.3979]",0.0149,true_eta
beta_0,"(0.3979, 0.5448]",0.0122,true_eta
beta_0,"(0.5448, 0.7958]",0.0149,true_eta
sigma2_w,"(0.004813, 0.2287]",0.0972,true_eta
sigma2_w,"(0.2287, 0.3979]",0.1147,true_eta
sigma2_w,"(0.3979, 0.5448]",0.1211,true_eta
sigma2_w,"(0.5448, 0.7958]",0.1026,true_eta
eta,"(0.004813, 0.2287]",0.1478,true_eta
eta,"(0.2287, 0.3979]",0.0543,true_eta
eta,"(0.3979, 0.5448]",0.0788,true_eta
eta,"(0.5448, 0.7958]",0.1757,true_eta
rho,"(0.004813, 0.2287]",0.0873,true_eta
rho,"(0.2287, 0.3979]",0.1165,true_eta
rho,"(0.3979, 0.5448]",0.1189,true_eta
rho,"(0.5448, 0.7958]",0.1374,true_eta
beta_0,"(39.9999, 95.75]",0.0151,N
beta_0,"(95.75, 155.0]",0.0125,N
beta_0,"(155.0, 217.5]",0.0163,N
beta_0,"(217.5, 299.0]",0.0131,N
sigma2_w,"(39.9999, 95.75]",0.1476,N
sigma2_w,"(95.75, 155.0]",0.0913,N
sigma2_w,"(155.0, 217.5]",0.0866,N
sigma2_w,"(217.5, 299.0]",0.1101,N
eta,"(39.9999, 95.75]",0.1274,N
eta,"(95.75, 155.0]",0.1303,N
eta,"(155.0, 217.5]",0.1000,N
eta,"(217.5, 299.0]",0.0983,N
rho,"(39.9999, 95.75]",0.1380,N
rho,"(95.75, 155.0]",0.1090,N
rho,"(155.0, 217.5]",0.1045,N
rho,"(217.5, 299.0]",0.1086,N
beta_0,"(103.9999, 272.5]",0.0151,edge_count
beta_0,"(272.5, 451.0]",0.0125,edge_count
beta_0,"(451.0, 637.0]",0.0164,edge_count
beta_0,"(637.0, 876.0]",0.0130,edge_count
sigma2_w,"(103.9999, 272.5]",0.1476,edge_count
sigma2_w,"(272.5, 451.0]",0.0913,edge_count
sigma2_w,"(451.0, 637.0]",0.0883,edge_count
sigma2_w,"(637.0, 876.0]",0.1089,edge_count
eta,"(103.9999, 272.5]",0.1274,edge_count
eta,"(272.5, 451.0]",0.1303,edge_count
eta,"(451.0, 637.0]",0.0990,edge_count
eta,"(637.0, 876.0]",0.0993,edge_count
rho,"(103.9999, 272.5]",0.1380,edge_count
rho,"(272.5, 451.0]",0.1090,edge_count
rho,"(451.0, 637.0]",0.1049,edge_count
rho,"(637.0, 876.0]",0.1082,edge_count
