sensitivity,specificity,selected_boundaries,true_boundaries
0.972972972972973,0.9944444444444445,38,37
,0.9612141652613828,23,0
0.9515151515151515,0.9746192893401016,162,165
0.8498168498168498,0.963076923076923,244,273
,0.9021739130434783,27,0
0.0,1.0,0,1
,1.0,0,0
,1.0,0,0
1.0,0.9849056603773585,5,1
0.7280701754385965,1.0,83,114
,0.9337748344370861,10,0
0.4845360824742268,0.997289972899729,48,97
0.8571428571428571,1.0,6,7
,0.966542750929368,9,0
0.8148148148148148,0.9803921568627451,46,54
1.0,0.9309664694280079,135,100
0.9790209790209791,0.9912280701754386,143,143
1.0,0.8470948012232415,202,152
0.65625,0.9875776397515528,86,128
0.9101123595505618,0.9947916666666666,82,89
0.2689655172413793,1.0,78,290
1.0,0.9986486486486487,65,64
0.16,1.0,4,25
0.7647058823529411,0.9603960396039604,69,85
,0.9054290718038529,54,0
0.9305555555555556,0.9945652173913043,69,72
,0.960960960960961,13,0
1.0,0.9969650986342944,44,42
0.0,1.0,0,4
0.44559585492227977,1.0,86,193
,0.9401709401709402,14,0
0.5934959349593496,0.9964028776978417,74,123
,0.9456869009584664,17,0
0.8666666666666667,0.9936305732484076,92,105
,0.9505154639175257,24,0
0.0,1.0,0,3
0.42,0.9955555555555555,22,50
0.3,1.0,42,140
0.53125,0.9944444444444445,52,96
1.0,0.8198198198198198,28,8
0.9066666666666666,0.9839228295819936,209,225
0.7847682119205298,0.9857549857549858,242,302
,1.0,0,0
,0.8488664987405542,60,0
0.6456692913385826,0.9977477477477478,83,127
0.0,1.0,0,10
1.0,0.8812949640287769,86,53
0.8464912280701754,0.9834710743801653,197,228
0.8977272727272727,0.967741935483871,165,176
0.71900826446281,0.998019801980198,88,121
0.8581314878892734,0.9815668202764977,256,289
0.8349514563106796,0.963963963963964,90,103
0.5576923076923077,0.9968354430379747,30,52
1.0,0.9372822299651568,27,9
0.18072289156626506,1.0,30,166
0.02040816326530612,1.0,1,49
0.43103448275862066,1.0,25,58
0.9545454545454546,1.0,21,22
0.8396624472573839,0.9657794676806084,208,237
1.0,0.9612068965517241,91,82
0.6323024054982818,0.9922178988326849,188,291
0.5535714285714286,1.0,31,56
0.05555555555555555,1.0,1,18
0.9456521739130435,0.9811320754716981,90,92
0.8366336633663366,0.9837133550488599,174,202
1.0,0.9588719153936546,37,2
0.3333333333333333,1.0,21,63
,1.0,0,0
0.9448275862068966,0.9777777777777777,282,290
,0.9887133182844243,5,0
0.4913294797687861,0.9934640522875817,173,346
1.0,0.9500959692898272,122,96
1.0,0.8921095008051529,285,218
0.35658914728682173,0.9944444444444445,47,129
0.7735849056603774,1.0,41,53
,0.8519417475728155,122,0
,0.9460916442048517,40,0
1.0,0.9823399558498896,179,171
,0.8263473053892215,29,0
0.24444444444444444,1.0,11,45
0.9285714285714286,1.0,13,14
1.0,0.9655172413793104,372,354
,0.7493670886075949,99,0
0.4827586206896552,1.0,14,29
,0.9938650306748467,2,0
0.8181818181818182,0.9922480620155039,46,55
1.0,0.8975903614457831,136,102
,0.9271317829457364,47,0
0.5,1.0,37,74
0.2,1.0,1,5
0.6538461538461539,1.0,102,156
,0.9985007496251874,1,0
1.0,0.7296511627906976,94,1
0.8035714285714286,0.998769987699877,46,56
,0.8271604938271605,98,0
0.7794117647058824,0.98125,218,272
1.0,0.9822222222222222,5,1
,0.6618357487922706,70,0
1.0,0.8934169278996865,244,210
0.6091954022988506,0.984,55,87
,0.9987212276214834,1,0
0.25,1.0,12,48
0.9325153374233128,0.9449152542372882,165,163
0.2770448548812665,0.9930875576036866,108,379
0.45112781954887216,0.9895287958115183,62,133
0.4177215189873418,0.9965870307167235,67,158
0.86,0.9944444444444445,88,100
1.0,0.9555555555555556,58,48
0.9583333333333334,0.9761273209549072,308,312
0.9428571428571428,0.9906687402799378,204,210
1.0,0.979253112033195,18,3
1.0,0.8947368421052632,80,68
0.45614035087719296,1.0,26,57
1.0,0.8095238095238095,66,38
0.8058252427184466,0.9939024390243902,84,103
,1.0,0,0
0.0,1.0,0,11
,1.0,0,0
0.3511450381679389,0.9915074309978769,142,393
0.7677902621722846,0.983177570093458,214,267
1.0,1.0,2,2
,1.0,0,0
1.0,0.9255663430420712,192,169
,0.9832535885167464,7,0
0.3150684931506849,1.0,23,73
1.0,0.7993197278911565,89,30
0.3978494623655914,1.0,37,93
0.16666666666666666,1.0,2,12
0.9289099526066351,0.9919517102615694,200,211
,0.9909365558912386,3,0
0.898936170212766,0.9801587301587301,174,188
0.7722772277227723,0.9939393939393939,80,101
,0.8181818181818182,94,0
0.34210526315789475,0.9971428571428571,53,152
0.2774566473988439,0.9960159362549801,49,173
0.07262569832402235,1.0,13,179
1.0,0.9439655172413793,52,39
1.0,0.8274231678486997,164,91
0.09090909090909091,1.0,1,11
,0.8430141287284144,100,0
,1.0,0,0
0.1276595744680851,1.0,6,47
1.0,0.9815573770491803,33,24
1.0,0.8644986449864499,110,60
1.0,0.9072356215213359,237,187
1.0,0.9152970922882427,76,9
0.4595959595959596,0.9927797833935018,93,198
,1.0,0,0
0.4206896551724138,1.0,61,145
1.0,0.9967320261437909,88,86
1.0,0.9695431472081218,104,92
,1.0,0,0
1.0,0.9552980132450332,268,241
1.0,0.9813084112149533,160,152
,0.8446215139442231,39,0
1.0,0.9871134020618557,196,191
,1.0,0,0
1.0,0.9405772495755518,102,67
1.0,0.9769230769230769,70,67
,1.0,0,0
0.8015267175572519,0.9869281045751634,107,131
0.7485714285714286,0.9956584659913169,134,175
0.875,0.99,43,48
1.0,0.9507042253521126,227,213
0.3170731707317073,1.0,26,82
1.0,0.8120950323974082,181,94
0.9375,0.9416666666666667,97,96
1.0,0.948051948051948,208,188
1.0,0.8823529411764706,87,71
